,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-08-04,HH,-19.205722150239183,4.493903405143036,-19.064630364321978,2.1198828753360495,-19.562531552072127,-12.700217370384435,-29.72844093129638
1,Open Water,2020-09-15,HH,-18.930378269413996,4.196467212049568,-18.814507693579777,2.0485280598638544,-18.44017824307664,-12.587350070359252,-29.24271327817412
2,Open Water,2020-10-09,HH,-15.667688891266037,4.396277559625725,-15.652539260766467,2.0967302066850957,-16.464197768229806,-9.24517068463216,-23.413689468220106
3,Open Water,2020-11-20,HH,-19.82628749006935,4.913961439191455,-19.69214520254059,2.216745686629717,-19.18692807529362,-12.03076479619952,-30.344280938362814
4,Open Water,2021-02-06,HH,-19.67010810018197,4.585237911702532,-19.55985891283131,2.1413168639186804,-19.68611864692999,-13.561868736548446,-31.62926638132729
5,Open Water,2021-02-18,HH,-17.418877106718995,4.280260405683755,-17.313841077113274,2.0688790215195656,-16.81371904020497,-9.383997821513624,-28.589707562433983
6,Open Water,2021-02-24,HH,-19.645576716475258,5.374203175694154,-19.563143052096326,2.318232769955199,-19.186842376520502,-11.06510948680772,-31.60792777848444
7,Open Water,2021-03-14,HH,-16.638616203774703,4.043930350712819,-16.561453266038292,2.0109525978284073,-16.812836053408216,-10.271772202496132,-26.254785863193927
8,Open Water,2021-03-20,HH,-16.550809308381243,4.477441373295162,-16.432073692145813,2.1159965437814785,-15.567703758848301,-9.176412914845745,-27.19783141105955
9,Open Water,2021-04-13,HH,-17.736110318352658,5.671402332037745,-17.688198858341217,2.38147062380323,-17.063290780129122,-8.963836221593732,-29.8397740113962
10,Open Water,2021-05-01,HH,-19.311139890985782,4.804744138127408,-19.184886326644996,2.191972659073878,-19.06269427637158,-11.465023138669403,-33.745331929786836
11,Open Water,2021-05-25,HH,-19.58934812600266,4.407894099712033,-19.437914994831306,2.0994985352964726,-19.312193658768866,-12.842638964488897,-29.40315557210761
