,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-08-04,HV,-30.83123937517978,6.500126209774214,-30.686825520142374,2.5495345084493786,-30.9369362002492,-23.036259000915127,-52.02683413192686
1,Open Water,2020-09-15,HV,-32.14738134002105,5.889276411437286,-31.935371506600006,2.4267831405869966,-31.43945462867542,-24.02901520642505,-45.301058613480066
2,Open Water,2020-10-09,HV,-28.03865423538029,8.030283102281564,-27.81178033044734,2.833775414933506,-26.8132473127854,-20.196228750819053,-40.33612178304835
3,Open Water,2020-11-20,HV,-31.576490246234115,5.02527070804919,-31.440037718665184,2.2417115577275304,-31.06161810149184,-24.125675603138177,-41.715233354026
4,Open Water,2021-02-06,HV,-32.573503106846765,4.5666944593572545,-32.43406282719972,2.1369825594415257,-31.813867750559318,-24.540589652888613,-42.09293979831691
5,Open Water,2021-02-18,HV,-32.105365731213354,7.143515041687252,-31.934481078142603,2.672735497891112,-32.183834183607814,-23.909930854305955,-46.09544121634627
6,Open Water,2021-02-24,HV,-31.249106061502513,5.072042875133568,-31.18540620812524,2.252119640501714,-31.18540620812524,-24.237511859473017,-40.813132324756054
7,Open Water,2021-03-14,HV,-31.968917919836834,7.106939342573146,-31.815304900216603,2.665884345310791,-31.815304900216603,-24.421786628263288,-45.62481138141025
8,Open Water,2021-03-20,HV,-30.157167640889043,6.805010005401103,-30.185488845103475,2.608641409891575,-30.44175439154876,-22.52720246556482,-41.146444014589875
9,Open Water,2021-04-13,HV,-29.29728975548264,7.760666274543914,-29.31253689314953,2.7857972421811166,-30.434756966323693,-20.747479660087144,-41.12031617318715
10,Open Water,2021-05-01,HV,-31.676765611298986,6.315826054556583,-31.68404458664672,2.5131307277092816,-31.937903894632964,-23.45677580453705,-50.76590496718045
11,Open Water,2021-05-25,HV,-32.6644585570434,6.095407118717741,-32.435482810225224,2.468887830323148,-32.56074195105609,-24.820991725322887,-45.5524729202067
