,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-06-29,VV,-16.971297329934842,5.3539402279003285,-16.814605805102314,2.313858299010622,-16.56282324478417,-9.832921528387644,-28.489290837496995
1,Open Water,2020-07-11,VV,-16.34763721013494,5.085888819730181,-16.182985672578315,2.255191526174702,-15.433847985342599,-8.972016813266436,-29.968895095083443
2,Open Water,2020-07-23,VV,-16.888915324005726,5.057216341432469,-16.688216465754113,2.248825547131762,-16.314883132099236,-10.256966305046296,-28.592506310378376
3,Open Water,2020-08-04,VV,-17.615328490014686,4.889047512810605,-17.43909051053968,2.211119063463251,-17.061924233349547,-10.550104596809593,-30.746677591989908
4,Open Water,2020-08-16,VV,-18.374756755462368,6.2317393763200135,-18.185751321994896,2.496345203756887,-18.06570856415841,-10.615597886468834,-33.03759849616632
5,Open Water,2020-09-09,VV,-17.30951924270004,5.367783412486962,-17.183477820413152,2.3168477318302476,-16.806500923316676,-9.70926296161642,-29.90291893506448
6,Open Water,2020-10-03,VV,-16.159309857966004,5.280005861804687,-16.062646160961656,2.297826334126382,-16.062646160961656,-9.239552266586855,-28.256150308624992
7,Open Water,2020-10-15,VV,-18.168207703169017,5.69212029300402,-18.061789312059425,2.3858164835133526,-17.185568831561817,-10.650658675251703,-31.794765130022324
8,Open Water,2020-10-27,VV,-16.54212169292265,7.847521105830188,-16.436376459379886,2.8013427326605695,-16.436376459379886,-6.32645698572049,-28.945950930256434
9,Open Water,2020-11-20,VV,-16.642654968441885,5.238303487809312,-16.44226732557653,2.288734036057775,-16.31262338214528,-9.372420488049684,-29.47713814539913
10,Open Water,2020-12-26,VV,-16.686900122175945,6.877810699474965,-16.565681153232653,2.622558045015394,-16.565681153232653,-8.77448587537108,-30.611779739784197
11,Open Water,2021-02-24,VV,-18.370257313959247,8.501781006339375,-18.18960223425592,2.9157813714919323,-18.06219558676025,-8.99215469779633,-34.206436194866306
12,Open Water,2021-04-13,VV,-18.261763186164295,5.442137032598307,-18.065469160431935,2.3328388355388605,-18.187013328331886,-10.056721519149814,-31.124619832696922
13,Open Water,2021-06-12,VV,-19.652926805976943,6.825109654862387,-19.311041843480865,2.612491082255093,-18.81365826225437,-11.338581841586315,-33.387110296255045
