,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-09-18,HV,-22.91694605939775,12.17633036603796,-22.87568120743398,3.489459896035196,-23.12191649582727,-7.469176226418686,-42.501941486899206
1,Sea Ice,2020-10-12,HV,-22.870445653232125,12.451041112452094,-22.625279191657114,3.528603280683746,-22.88032007526351,-9.482957207582464,-48.783833395625365
2,Sea Ice,2020-10-24,HV,-22.044595221879245,14.13704877627865,-21.813206705327502,3.759926698258711,-21.565387201024926,-9.929749127634988,-40.15076520278448
3,Sea Ice,2020-11-05,HV,-22.49670842380414,15.073799472063127,-22.372012486760216,3.882499127116853,-22.876324597657135,-9.026107915532627,-43.117884665011175
4,Sea Ice,2020-11-17,HV,-23.89323476734117,20.773905906626098,-23.812213955088147,4.557840048381042,-22.81151378392624,-8.224688764728374,-38.872651683191954
5,Sea Ice,2020-11-29,HV,-22.65406884342133,15.09590918849688,-22.556890012230642,3.8853454400473684,-21.314565911652334,-10.049728016599385,-39.032717623221785
6,Sea Ice,2020-12-11,HV,-23.564066465956333,18.943744025386383,-23.372613295298912,4.352441157027442,-23.372613295298912,-7.742519244735946,-49.71283505490785
7,Sea Ice,2020-12-23,HV,-24.71067358312734,15.889257215764374,-24.441150982043077,3.986133115660386,-24.441150982043077,-8.887085974391493,-38.61842063598836
8,Sea Ice,2021-02-21,HV,-23.222580425050104,15.322610793087856,-23.13280106206956,3.914410657185556,-23.87771491403344,-9.094356532636006,-43.72312654361748
9,Sea Ice,2021-03-05,HV,-23.884111566428018,17.38907992189303,-23.56004486800166,4.170021573312664,-22.061917214120957,-9.863576950445593,-41.73230473581888
