,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-06-29,VH,-28.05514368572596,4.097461882575598,-27.687956342970136,2.0242188326798063,-27.062664042347873,-21.27266052580273,-39.44143053764853
1,Open Water,2020-07-11,VH,-27.69095038251955,4.108391103289454,-27.312919449819358,2.0269166493197135,-27.06490541818657,-20.954287800141365,-39.14553236601186
2,Open Water,2020-07-23,VH,-27.97487623628858,3.8132289463126767,-27.689899565709755,1.9527490740780487,-27.312343128834268,-21.91748829214983,-39.024354235480516
3,Open Water,2020-08-04,VH,-28.10352877853197,5.0098648886667005,-27.684709388248628,2.238272746710441,-27.31148527797805,-21.345757731512577,-45.44836901290211
4,Open Water,2020-08-16,VH,-27.673537545161178,3.617653701449555,-27.31363063635797,1.9020130655307168,-27.06360995184999,-20.815347505253186,-38.13374143322149
5,Open Water,2020-09-09,VH,-27.930314202488088,4.402976374537854,-27.684644615544318,2.0983270418449678,-26.688943317526913,-21.306796341166066,-40.477863475157065
6,Open Water,2020-10-03,VH,-27.96636443172537,4.387851374427972,-27.68539547370158,2.0947198797041984,-26.80946081521246,-20.48114528529098,-40.96254521951274
7,Open Water,2020-10-15,VH,-28.041247124469994,4.478181025032146,-27.686097274852106,2.1161713127797914,-27.058008153033587,-21.69157680642131,-41.921888784583174
8,Open Water,2020-10-27,VH,-27.963678051218967,3.8442428764456453,-27.564311949443734,1.9606740872581667,-26.93563750551797,-20.611410841854262,-38.46479070418305
9,Open Water,2020-11-20,VH,-28.06316511073376,4.378349234351144,-27.683289911531094,2.0924505333104397,-27.310993286552623,-21.00318999506444,-40.464357785896034
10,Open Water,2020-12-26,VH,-28.107806439829645,4.729225116710587,-27.690752969119696,2.174678163938422,-27.43741953863908,-20.745303845850135,-43.43143391481195
11,Open Water,2021-02-24,VH,-28.04638634931147,4.178999152728142,-27.687834871196003,2.0442600501717343,-27.062343411808424,-21.737891313962944,-39.97021072550682
12,Open Water,2021-04-13,VH,-28.13398330973472,4.456430919308771,-27.68701022097748,2.111026034730214,-26.810534562473084,-20.48807322478612,-41.156118548648934
13,Open Water,2021-06-12,VH,-28.155473084949584,4.4883644715635835,-27.810795813737144,2.1185760480954143,-27.31362189316207,-20.89310380612334,-40.877143824712604
