,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-09-18,HH,-12.403777483085502,6.808484743415222,-12.31137539197643,2.6093073301961236,-11.692126042818048,-1.6368577752492663,-23.794911994696015
1,Sea Ice,2020-10-12,HH,-12.182756939674624,6.20791119692307,-12.063249801634752,2.491568019726347,-11.441972793032239,-0.8591269858836923,-24.683031056781488
2,Sea Ice,2020-10-24,HH,-11.931134009900237,7.190982728803995,-11.687887335244252,2.6816007772977684,-12.187572763017936,-1.1429114008036019,-26.365440334003104
3,Sea Ice,2020-11-05,HH,-12.357141604321287,8.17679194064755,-12.062920675429146,2.8595090383923516,-11.689612252161838,-2.562435318962542,-26.245443890656222
4,Sea Ice,2020-11-17,HH,-13.17304576708293,9.27998643700693,-13.063023000535267,3.046307016209451,-12.9390733901701,-2.3395503763254193,-24.473221324625186
5,Sea Ice,2020-11-29,HH,-12.612470406455609,8.34413169774785,-12.435967560994829,2.8886210720251713,-13.062256904643059,-1.739679197480537,-27.090337381121927
6,Sea Ice,2020-12-11,HH,-13.320951010339934,9.931474947350708,-13.18543543649643,3.1514242728250204,-13.31448109395894,-3.5023749840405016,-24.851726437915588
7,Sea Ice,2020-12-23,HH,-13.392633681825435,8.467920932862535,-13.317092839637935,2.9099692322879522,-12.816474859446112,0.8813288516808494,-24.570939436670844
8,Sea Ice,2021-02-21,HH,-13.083826459130526,8.022989915155287,-13.063018523273303,2.8324882903827313,-13.188582222715539,-3.616884975989278,-25.898320476177435
9,Sea Ice,2021-03-05,HH,-13.638948478617829,8.706882258573236,-13.436812412788532,2.9507426622078103,-13.058264593015487,-4.518004188317714,-25.99889998850028
