,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-09-19,VH,-27.52277463171298,5.051680022683047,-27.184463094392537,2.2475942744817283,-26.439511189856184,-19.650644336569602,-40.62978503384495
1,Sea Ice,2020-10-01,VH,-26.62388094173158,6.430243878549672,-26.566410538473722,2.5357925543209703,-26.313421875474358,-18.201317148591826,-41.24733833742704
2,Sea Ice,2020-12-24,VH,-26.67484152004726,8.113236935441385,-26.685355263888784,2.8483744373662296,-26.437863501937574,-15.474201543853152,-44.97886521763625
3,Sea Ice,2021-01-05,VH,-23.90567950593793,9.835289499568365,-23.936231914519794,3.136126512047683,-25.683360057225528,-13.603433661467053,-39.67117979129828
4,Sea Ice,2021-01-29,VH,-24.329916956541364,10.156726305034546,-24.435100548353223,3.186961924001375,-25.939340546115766,-13.71588301553334,-41.982273791529096
5,Sea Ice,2021-03-06,VH,-25.274322890408996,8.80284420042781,-25.437099593332253,2.966958745993582,-26.313629337135485,-15.043466517978532,-44.65719393453516
6,Sea Ice,2021-03-18,VH,-26.806393051953993,5.291329759963904,-26.560877371439403,2.3002890600887325,-26.31214210619402,-17.257993887400424,-41.52599299239561
7,Sea Ice,2021-03-30,VH,-24.661733892040484,9.409367687355305,-24.815578741953257,3.0674692642886097,-26.066578923337815,-15.143205796362697,-43.43150563784948
8,Sea Ice,2021-04-23,VH,-26.807043297232894,5.777883955475135,-26.564861364386815,2.403722936503942,-26.060992386481665,-17.91426407477698,-45.497352591463226
9,Sea Ice,2021-06-10,VH,-23.485521265330632,10.745890267815659,-23.31595633999027,3.2780924739573254,-22.18698263228255,-15.206640158223678,-41.83575003582394
