,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-09-19,VV,-12.931764742872486,4.1369249381437125,-12.843118310354123,2.03394319934056,-12.467490862147558,-6.462879706700159,-21.69081677329168
1,Sea Ice,2020-10-01,VV,-13.602828077855362,7.471985404221005,-13.441949724985896,2.7334932603211235,-13.813311473405696,-5.079786700856922,-26.867730686217925
2,Sea Ice,2020-12-24,VV,-12.769244703794417,5.345786355358859,-12.691293749026897,2.3120956631071428,-12.812864180194524,-4.759453084660436,-22.821249339344583
3,Sea Ice,2021-01-05,VV,-11.536399731288443,7.539295127462163,-11.186126491702373,2.7457776908304434,-10.442516988461978,-4.619403086104668,-24.47548722740665
4,Sea Ice,2021-01-29,VV,-12.390226612592661,8.001903734722346,-12.437105748132316,2.8287636406604113,-12.562215149267917,-3.3574126054311115,-24.426712864572124
5,Sea Ice,2021-03-06,VV,-12.408954361912913,5.339150192078903,-12.310970918127158,2.3106601204155712,-12.19066187316771,-5.448243397889897,-28.41663413341101
6,Sea Ice,2021-03-18,VV,-13.262071317052268,5.0114331507804915,-13.06150714655909,2.2386230479427507,-12.563092856808817,-5.9359288164373405,-26.1757549930933
7,Sea Ice,2021-03-30,VV,-13.031856960895764,8.07316247567058,-12.80873720801613,2.8413311098269736,-12.437068966664464,-4.519865015705505,-26.862702238731284
8,Sea Ice,2021-04-23,VV,-13.237148812008012,4.736938834370483,-13.179885557448019,2.1764509721954415,-13.179885557448019,-5.813918008699969,-25.425109864629718
9,Sea Ice,2021-06-10,VV,-12.868129030240167,6.045374114925194,-12.81337247463883,2.458734250569832,-12.061058152607194,-5.210142437342586,-24.524071874363436
