,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,open_water,2020-06-23,HH,-25.0734470039644,7.59373824945798,-24.874517594373,2.75567382856863,-24.3749514803491,-1.34511343400926,-53.6617023427176
1,open_water,2020-06-29,HH,-28.4024558470587,13.015536521924,-28.3750129217368,3.60770516006008,-28.1248165130914,-7.24455626603455,-58.9735831083415
2,open_water,2020-07-05,HH,-25.0992547900447,7.57661018802761,-24.8747140144084,2.75256429316876,-24.6250015571351,-9.26601212277474,-51.0702004215172
3,open_water,2020-07-11,HH,-31.3348518602436,7.73099491531527,-31.3752396639598,2.78046667221811,-31.6255996158656,-10.8095541346825,-64.3360120161403
6,open_water,2020-07-29,HH,-27.018100880128,8.92978983962721,-26.7496247032383,2.98827539554636,-26.7496247032383,19.3766722969101,-62.2621935314265
7,open_water,2020-08-04,HH,-19.5479880501162,7.17372992593572,-19.3748019680558,2.67838196042605,-19.124963356589,-6.97503190150068,-40.9582311279773
9,open_water,2020-08-16,HH,-30.9690040689798,8.6630171424396,-31.1257934011904,2.94330038263841,-31.6250951637903,-13.0198039624048,-67.4174591907232
11,open_water,2020-08-28,HH,-20.5908447152024,6.12679136458763,-20.3748497783241,2.47523561799435,-20.1250896279396,-7.90700034761177,-51.4169917342034
12,open_water,2020-09-03,HH,-27.0430556293901,7.77260222509713,-26.8751140963024,2.78793870540538,-26.6248774645895,-13.1032374463367,-54.9231831286817
13,open_water,2020-09-15,HH,-19.5329239793095,4.97801788610003,-19.3748521749415,2.23114721300501,-19.1252570365663,6.53316965476825,-38.8674999741038
15,open_water,2020-09-27,HH,-25.4704518718832,8.03567563255908,-25.1247187261307,2.83472672978527,-24.8748487209284,-14.0196201170193,-63.2370555744784
17,open_water,2020-10-09,HH,-15.6354689531644,5.05356373349223,-15.5627619097423,2.24801328587983,-15.5627619097423,-4.84460304395119,-31.8508122779065
22,open_water,2020-11-08,HH,-20.7384935041107,6.52353394715525,-20.6248536592242,2.55412097347703,-20.3749811793231,-7.47337093754114,-46.600112921882
24,open_water,2020-11-20,HH,-19.8755674821431,7.19502712520996,-19.8749832034629,2.68235477243596,-19.6250256685114,-6.77024521126248,-42.465210668173
26,open_water,2020-12-02,HH,-29.0680464071174,10.5288190164494,-29.2492975043646,3.24481417286863,-28.7503895865587,7.37490469281914,-63.5755230384521
27,open_water,2020-12-08,HH,-20.7226735010759,6.38563667771063,-20.6247369960367,2.52698173276158,-20.6247369960367,-7.48809221756134,-46.9382019715175
28,open_water,2020-12-14,HH,-20.1890051400246,6.23701920714414,-20.1246069029726,2.49740249201932,-19.8750229546407,14.8335968972866,-41.6135203542366
29,open_water,2020-12-26,HH,-27.4359853750556,9.54812526973406,-27.3745660559101,3.09000408895099,-26.6250950416571,-12.4913148816256,-57.2011928043084
31,open_water,2021-01-07,HH,-20.520617399606,7.65225086315527,-20.3749769184692,2.76627020790725,-20.1250165983337,-8.62062202501544,-48.3373110423116
32,open_water,2021-01-13,HH,-27.0712223526552,11.0567941798289,-26.8746671790839,3.32517581186757,-26.6250608079188,-14.2279811175596,-65.3936852019168
33,open_water,2021-01-19,HH,-25.818687657237,12.4162594695827,-25.7497874229755,3.52367130555371,-25.7497874229756,11.9932952787604,-55.2032547367747
34,open_water,2021-01-25,HH,-26.0882172707098,10.9084871842837,-25.7491985460058,3.30279990073327,-25.2500141452866,8.11174932657646,-59.4860750713799
36,open_water,2021-02-06,HH,-19.7160991018777,7.96529963215384,-19.624600211637,2.82228624206577,-19.3747654086148,-7.91722400874105,-47.0082008726125
38,open_water,2021-02-18,HH,-17.1829596715061,4.90318708163059,-17.0624443688371,2.21431413345771,-17.0624443688371,-6.71650355802471,-34.8110254622642
39,open_water,2021-02-24,HH,-20.4326464722654,6.60551775071745,-20.3748400942958,2.57012018215442,-20.1249393528794,-7.0574568338994,-46.9779895361481
40,open_water,2021-03-02,HH,-19.9639021042698,5.5716353249327,-19.7493421511638,2.36043117352165,-19.7493421511638,20.278508091428,-43.7356213700812
42,open_water,2021-03-14,HH,-16.4057923708605,4.29647654403412,-16.3749156270354,2.07279438054864,-16.3749156270354,-0.352235745841896,-34.5938443244417
43,open_water,2021-03-20,HH,-16.9984178779855,5.62218364551381,-16.8745676056875,2.37111443113017,-16.6250462846946,-5.42006861245888,-38.6521396908708
45,open_water,2021-04-01,HH,-27.2835279326408,10.4137517504697,-27.1246571345553,3.22703451336822,-26.6252440951854,-13.2327022509598,-62.273226547759
47,open_water,2021-04-13,HH,-17.6865573352315,6.11022837829599,-17.5625750903297,2.47188761441451,-17.4375308603771,-6.64294073049515,-37.752491429512
50,open_water,2021-05-01,HH,-20.5544357938319,6.36258240731881,-20.3749056636793,2.52241598617651,-20.1250831457553,-7.64690382572653,-48.0802414332205
52,open_water,2021-05-19,HH,-31.0979235109005,8.37349902861951,-31.1260442988287,2.89369988572062,-31.6254748400774,-14.3996824417634,-68.191807040684
53,open_water,2021-05-25,HH,-20.2660134409851,6.26645651627643,-20.1249811118169,2.50328913956747,-19.8751964662289,-7.84901774341065,-45.3767873479531
54,open_water,2021-05-31,HH,-31.3089907751884,7.52096769159964,-31.3753355230427,2.74243827489321,-31.6252877358926,-13.2341986612274,-64.9079473326748
