,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,open_water,2020-06-29,VV,-16.239733614999842,5.478739624179571,-16.124792808602013,2.340670763729837,-15.87504837720694,-5.583520724457278,-38.09403720516465
1,open_water,2020-07-11,VV,-16.483773225291664,5.459371791548607,-16.374802798439685,2.3365298610436795,-16.12521784810827,-6.416887488934327,-39.78579400510554
2,open_water,2020-07-23,VV,-16.79693756638487,7.8404087602835,-16.62483294202551,2.800072991956379,-16.37483278374171,-6.352360431921548,-39.493633478608054
3,open_water,2020-08-04,VV,-17.23057797431692,5.622630083444973,-17.124702854668598,2.371208570211597,-16.874911881454608,-6.556315907879381,-40.61336652399053
4,open_water,2020-08-16,VV,-18.842257918821357,7.775671958992294,-18.624781870177262,2.788489189326775,-18.374985310646903,-5.705994981926919,-44.74140036311651
5,open_water,2020-08-28,VV,-12.382122133321191,4.3133174222336255,-12.312428682245471,2.076852768549958,-12.062679374944663,-2.8592467129350236,-29.452744216930835
6,open_water,2020-09-09,VV,-17.429171526824383,6.375222377438117,-17.37459249384963,2.524920271501274,-17.12488021235713,-6.595326066151963,-39.80665704539116
7,open_water,2020-09-21,VV,-14.75718140842522,5.867259760612571,-14.624948743555908,2.422242712985731,-14.37493249612978,-3.3708512853700325,-37.1005779624351
8,open_water,2020-10-03,VV,-17.035143008617716,7.131712987063226,-16.874960857943492,2.6705267246487763,-16.62494069076546,-3.8062104420500638,-39.03887449981296
9,open_water,2020-10-15,VV,-18.13258685970567,6.506248149549275,-17.874624138326183,2.5507348254080187,-17.62501652313812,-6.325749898208633,-41.466951969285276
10,open_water,2020-10-27,VV,-16.678607080300687,8.492815004033814,-16.625016739506627,2.914243470273857,-16.375222513647472,15.625650229547807,-42.755639903802575
11,open_water,2020-11-08,VV,-15.877765403969809,6.711918303862414,-15.874856325519211,2.590737019433353,-15.625030336853392,-3.471153665898496,-40.0492099863899
12,open_water,2020-11-20,VV,-16.58484084002683,6.700123736017239,-16.37502959936769,2.5884597226955357,-16.375029599367682,-4.7655296374506175,-39.58455202872881
13,open_water,2020-12-02,VV,-11.548647819034397,6.481734771986144,-11.374949455329467,2.5459251308681767,-11.374949455329462,2.64214212277664,-35.43739037612768
14,open_water,2020-12-14,VV,-15.345015529112397,7.016556225411315,-15.1247789073161,2.6488782956963535,-14.875036610043654,-1.0813257223672366,-49.93360315114213
15,open_water,2020-12-26,VV,-16.56355373683533,7.660994361815543,-16.37486315535817,2.767850133554117,-16.37486315535817,-2.462285427193331,-39.66444717889604
16,open_water,2021-01-07,VV,-15.525504098374446,8.405936975175182,-15.375032863815791,2.8992993938493536,-15.375032863815795,-0.18603118909482885,-39.53980744038007
17,open_water,2021-01-19,VV,-11.729903295399069,5.22494902677687,-11.687456105042529,2.285814740257152,-11.437324363753158,-0.3867158589111278,-29.11936345024223
18,open_water,2021-01-31,VV,-10.047435812615506,6.037713284133967,-9.93752297974263,2.4571758757024154,-9.81244305374883,0.6778821465065209,-27.868086941774944
19,open_water,2021-02-12,VV,-8.821081357585035,5.033469597601089,-8.687447319172998,2.243539524412505,-8.812416837399091,2.0412112163703737,-23.659018154994705
20,open_water,2021-02-24,VV,-17.909642265170657,9.62954738900136,-17.87479711205991,3.1031512030517234,-17.375057128253573,-2.9288241237501067,-44.068659879479725
21,open_water,2021-03-08,VV,-12.70165628783551,6.789441406326929,-12.562282989123862,2.6056556576660044,-12.437483349582097,-1.3704529080167582,-32.9695211884431
22,open_water,2021-03-20,VV,-12.107259881688949,5.056489738157292,-12.062518475712842,2.2486639896074387,-11.812523443514884,-0.5118446690709629,-30.36866977234027
23,open_water,2021-04-01,VV,-14.188930195613858,6.071077906406563,-14.12479313477215,2.463955743597394,-13.875183340945581,-1.6786381022604289,-34.89604125273032
24,open_water,2021-04-13,VV,-17.983734810199582,6.374707285373134,-17.87461820904521,2.5248182677914413,-17.624919044268957,-6.327155021224355,-44.043817913148416
25,open_water,2021-04-25,VV,-19.575833466713686,6.979872762570036,-19.374733543218188,2.6419448825760714,-19.124733865471924,-9.449669397608528,-45.47384337306839
26,open_water,2021-05-07,VV,-15.177160040086394,5.206518458690851,-15.062379079404257,2.2817796691816787,-14.937498475819996,-4.039536953461123,-35.75921694349841
27,open_water,2021-05-19,VV,-15.231619745394035,5.76045649672951,-15.124832602615811,2.4000951016010923,-14.875148423418716,-3.6621124123343485,-42.099003437176314
28,open_water,2021-05-31,VV,-17.619994577423622,5.959652064090167,-17.374721374285617,2.4412398620557987,-17.12493642119028,-6.170459041094272,-42.855525398539676
29,open_water,2021-06-12,VV,-19.47962655071831,13.904021647116492,-18.8742573010042,3.7288096823405312,-18.125083624133083,-7.05824273695642,-50.81878189974658
