,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,sea_ice,2020-08-14,VV,-13.9310441978831,4.29987544309936,-13.8124241541137,2.07361410177964,-13.5624992132782,-1.69595792980743,-31.8908354333712
3,sea_ice,2020-09-19,VV,-13.0829003435791,4.57032306529552,-12.937460373296,2.13783139309336,-12.6875722082336,-3.8383293074171,-29.4512552985078
4,sea_ice,2020-10-01,VV,-14.2524106134703,7.21402844695212,-14.1247781149502,2.68589434768981,-14.1247781149502,0.0423944952493251,-38.4937225147889
7,sea_ice,2020-11-06,VV,-14.2468255385268,5.80288392708065,-14.1247519826521,2.40891758411961,-14.1247519826521,-1.18608927094314,-36.267041443967
10,sea_ice,2020-12-12,VV,-10.7633646688332,6.93795741735813,-10.6247884163883,2.6340002690505,-10.1251028841126,7.81225708128749,-36.8589938366133
11,sea_ice,2020-12-24,VV,-12.3032801570545,6.70763465369143,-12.3749530404657,2.58991016324725,-12.3749530404657,0.568013805164654,-32.8479499796336
12,sea_ice,2021-01-05,VV,-14.0548898370182,16.0256769511389,-13.3741591724019,4.00320833221791,-12.374918741576,2.69815346233871,-51.6762970791999
13,sea_ice,2021-01-17,VV,-14.6523921763262,8.73731982994353,-14.3748807898802,2.95589577454002,-14.1247082984855,-0.643573251861571,-40.5632129528286
14,sea_ice,2021-01-29,VV,-13.4610530732239,11.3566945768645,-13.3748535467631,3.36996952165215,-13.3748535467631,0.713007443871137,-37.050990443032
16,sea_ice,2021-02-22,VV,-14.2791425483937,8.578491944002,-14.1246770021519,2.92890627094859,-13.8748724682231,3.02513211055402,-39.2670013203758
17,sea_ice,2021-03-06,VV,-12.4032316019196,6.38200853431326,-12.3749077437317,2.52626374995035,-12.1250656050256,0.675536797947295,-33.9356198864589
18,sea_ice,2021-03-18,VV,-13.3565212478758,8.97285457516944,-13.1245931257766,2.99547234591967,-12.8751935700552,1.63524719966782,-39.834657316029
19,sea_ice,2021-03-30,VV,-14.2943783042469,9.82971721766104,-14.1248913598568,3.13523798421444,-13.874879947431,2.1955979288801,-37.4008162595789
20,sea_ice,2021-04-11,VV,-13.4661328025276,10.6752414998037,-12.8742589773061,3.26729880785393,-12.375140562301,4.36113833791625,-45.0539417348265
21,sea_ice,2021-04-23,VV,-13.1155547355878,5.40040165738842,-13.1247724272131,2.32387642902725,-12.8747455519317,2.10160023996009,-33.887303793476
24,sea_ice,2021-05-29,VV,-10.3148096663955,4.9781127024631,-10.1874248292905,2.23116846124694,-9.93751103593108,-1.04564503792341,-28.0228969782498
25,sea_ice,2021-06-10,VV,-12.2323433257183,5.5460827745569,-12.0624578939912,2.35501226632834,-11.9373880802602,-2.63785436764792,-31.6598857101855
