,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,First-Year Ice,2020-11-29,HH,ASCENDING,-16.67258964500721,11.680881688993425,-16.12447168297607,3.417730488056866,-15.625063262868188,3.8365977927563835,-36.845668255433644
1,First-Year Ice,2020-12-05,HH,ASCENDING,-16.43240774361273,16.84140947245038,-15.874475389075581,4.103828635853382,-15.12515432213607,5.257841173792064,-40.047158372854796
2,First-Year Ice,2020-12-11,HH,ASCENDING,-16.31130727238412,14.99580529977679,-15.624099453220134,3.8724417748723856,-14.875125863902984,6.931733751857664,-35.813977992423595
3,First-Year Ice,2020-12-17,HH,ASCENDING,-17.34069633611405,12.656706508671318,-16.874449549525337,3.55762652742968,-16.374992436993246,1.127612093189996,-40.18084024466113
4,First-Year Ice,2020-12-23,HH,ASCENDING,-15.61933784603865,8.344510151926114,-15.374864842905103,2.8886865790400673,-14.875274484402725,4.377814752348492,-34.75248469318457
5,First-Year Ice,2020-12-29,HH,ASCENDING,-16.33342629037348,8.53655028960257,-16.12456839208177,2.9217375463245445,-15.624812382180645,2.659191754655048,-38.69042018385396
6,First-Year Ice,2021-01-04,HH,ASCENDING,-16.591352436559053,8.246212921726068,-16.37450325562433,2.871622001887795,-15.874952102610226,2.800909831905503,-34.327385954089515
7,First-Year Ice,2021-01-10,HH,ASCENDING,-16.886173654972996,8.804950803553053,-16.62463389124891,2.9673137352752326,-16.124807934653358,2.3242137421441216,-37.148429888942005
8,First-Year Ice,2021-01-16,HH,ASCENDING,-16.784514692261624,8.222194628447756,-16.624478371085083,2.867436944110167,-16.1249899614346,3.4173687685656318,-34.06887389835583
9,First-Year Ice,2021-01-22,HH,ASCENDING,-17.09881491601915,9.745013227448823,-16.874593795232844,3.1217003743871343,-16.124808153246438,0.8478992970048137,-36.610521122999494
