,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,First-Year Ice,2020-06-24,VH,ASCENDING,-27.52396261870308,4.966569703224411,-27.123901847891855,2.2285801989662413,-26.62527361201975,-17.94355151930563,-52.590404947216676
1,First-Year Ice,2020-07-06,VH,ASCENDING,-26.839077538245036,6.341918175529721,-26.873995632261202,2.51831653600768,-26.375585438411605,-15.392163290562701,-62.2754262633039
2,First-Year Ice,2020-07-30,VH,ASCENDING,-27.914346141138246,4.188499315071217,-27.623419890008904,2.046582349936405,-26.874962346387488,-18.88414512904372,-55.121791586060795
3,First-Year Ice,2020-08-11,VH,ASCENDING,-28.095815067894932,4.115315983261864,-27.62395875642096,2.028624160178978,-27.125230045097794,-19.84853200787598,-54.50500988224292
4,First-Year Ice,2020-08-23,VH,ASCENDING,-28.052696101604823,4.141544310672034,-27.623647482806593,2.035078453198312,-27.124448872715906,-19.54990259858816,-51.630739882027115
5,First-Year Ice,2020-09-04,VH,ASCENDING,-28.085261441310077,4.062247117835855,-27.624132499523263,2.0155017037541434,-27.124515920601493,-18.76209923440396,-56.673404945764744
6,First-Year Ice,2020-09-16,VH,ASCENDING,-27.926599809755526,4.282408851204262,-27.623660712694733,2.0693981857545594,-26.87493464415159,-19.32615701865738,-58.93444803233892
7,First-Year Ice,2020-09-28,VH,ASCENDING,-27.98698323889289,4.048259251213723,-27.623478142973042,2.012028640753835,-26.87470719414466,-16.484638002289085,-54.721659937720844
8,First-Year Ice,2020-10-10,VH,ASCENDING,-27.732581895574075,4.7697087438980645,-27.3733544078808,2.1839662872622516,-26.874849664846856,-18.75208554853096,-59.76647547635389
9,First-Year Ice,2020-10-22,VH,ASCENDING,-27.96780397762238,4.181206930902849,-27.62397876105452,2.0447999733232707,-27.12465440624902,-19.26733339792555,-63.27280267373066
10,First-Year Ice,2020-11-03,VH,ASCENDING,-27.551949256237275,5.15318723414065,-27.373785428243465,2.2700632665502187,-26.874537327885538,-17.249214193877236,-52.46234109624895
11,First-Year Ice,2020-11-15,VH,ASCENDING,-27.619860289066985,5.167222310152473,-27.373845393534822,2.273152504816268,-26.87457643646974,-16.512353870775414,-55.47765163962473
12,First-Year Ice,2020-11-27,VH,ASCENDING,-27.16787750014663,6.169527547841224,-27.124377862105145,2.4838533668156066,-26.874231998059734,-15.70951057554417,-51.75005471900275
13,First-Year Ice,2020-12-09,VH,ASCENDING,-24.571224496675153,9.010280165263426,-24.625133350874016,3.0017128718888864,-25.874598025667716,-12.815523987521548,-49.36455663052776
14,First-Year Ice,2020-12-21,VH,ASCENDING,-23.76310252878026,9.260273558139804,-23.624821451740882,3.0430697589999154,-22.87509106463357,-13.317022159760727,-51.184212135518166
15,First-Year Ice,2021-01-02,VH,ASCENDING,-26.70261492569397,6.29067612761122,-26.62422087610138,2.508122032041348,-26.374969560380734,-15.073165672444784,-51.61828340719717
16,First-Year Ice,2021-01-14,VH,ASCENDING,-27.07716855971652,5.794455588723711,-26.874086724180973,2.4071675447969363,-26.625364901806872,-16.109338834294874,-52.57482755378967
17,First-Year Ice,2021-01-26,VH,ASCENDING,-27.326518061174514,5.066004490307195,-27.12367224045623,2.250778640894567,-26.62470732271417,-16.580448442340217,-56.62112281409446
18,First-Year Ice,2021-02-07,VH,ASCENDING,-27.31815346198892,5.251462307560889,-27.124016572592677,2.2916069269315993,-26.624976042367244,-16.544338363491352,-54.44974018971861
19,First-Year Ice,2021-02-19,VH,ASCENDING,-27.448912264001166,5.004624121580598,-27.124074134294816,2.2371017235656936,-26.624810018014543,-14.063220593786184,-54.041810715110294
20,First-Year Ice,2021-03-03,VH,ASCENDING,-27.611313071041383,5.0864533997158174,-27.373628973753636,2.2553166961018616,-26.874587431142572,-14.350304475082998,-59.26951239113687
21,First-Year Ice,2021-03-15,VH,ASCENDING,-27.693573376398675,4.90235020850409,-27.373828764419496,2.2141251564679196,-26.875080294397993,-15.199955626746666,-52.743606654675574
22,First-Year Ice,2021-03-27,VH,ASCENDING,-27.468629219680555,4.909512030729359,-27.124219941677378,2.2157418691556465,-26.625208909025147,-15.203268995545793,-51.798532423772
23,First-Year Ice,2021-04-08,VH,ASCENDING,-27.480460397390228,4.877023506367732,-27.123772343165015,2.2083984029988186,-26.624875061185293,-15.653615331876537,-51.88663628362085
24,First-Year Ice,2021-04-20,VH,ASCENDING,-27.539066714400892,4.70175002378664,-27.12383389889847,2.1683519141935057,-26.62562621691114,-16.319830336831657,-53.03847017589119
25,First-Year Ice,2021-05-02,VH,ASCENDING,-27.489931638120467,4.753038972901006,-27.123719120029218,2.180146548491868,-26.62471605284034,-18.37111531184689,-52.649074566476045
26,First-Year Ice,2021-05-14,VH,ASCENDING,-26.176194179959975,7.347429412977904,-26.125370351298304,2.710614213232474,-26.37444972104248,-13.819001899447391,-51.30501427182003
27,First-Year Ice,2021-05-26,VH,ASCENDING,-26.293677986583052,7.108429665406062,-26.375100675777464,2.6661638481920167,-26.375100675777464,-13.683109172102094,-57.35978765004356
28,First-Year Ice,2021-06-07,VH,ASCENDING,-27.592383661289503,4.547063975654755,-27.373932530759657,2.132384574989876,-26.625145773439563,-18.8460422891693,-55.515737658203065
29,First-Year Ice,2021-06-19,VH,ASCENDING,-27.006456055448815,5.973017956740841,-26.87412639578931,2.44397585027781,-26.624488202181062,-16.277042034173967,-53.82130851420294
