,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,First-Year Ice,2020-06-24,VV,ASCENDING,-15.969538995717912,5.552984765346458,-15.874912875663565,2.3564771938948312,-15.874912875663565,1.1765078487980716,-38.0091602828858
1,First-Year Ice,2020-07-06,VV,ASCENDING,-13.96480307434412,7.870908408882412,-13.624723601131134,2.805513929547029,-13.125463072809206,-4.23622358221722,-39.63561790547229
2,First-Year Ice,2020-07-30,VV,ASCENDING,-18.853636278276984,7.447310440658434,-18.62445130964755,2.7289760791656703,-18.12540214674832,-7.357546120355848,-42.867817034973505
3,First-Year Ice,2020-08-11,VV,ASCENDING,-25.593013727990204,11.30148687699157,-26.127747130133592,3.361768415133852,-26.625490406273013,-12.751682483744915,-51.52446998689278
4,First-Year Ice,2020-08-23,VV,ASCENDING,-19.970650378824313,7.139924343203136,-19.624856486120493,2.672063686217665,-19.37486579015628,-11.327769765060623,-46.13510088237963
5,First-Year Ice,2020-09-04,VV,ASCENDING,-26.596598796133737,16.919607620679823,-27.37425489338507,4.113345064625605,-27.125040067256002,-9.83860138290132,-51.607498795329995
6,First-Year Ice,2020-09-16,VV,ASCENDING,-16.755579815763213,5.33403940988975,-16.56264134858533,2.3095539417579642,-16.437157340474098,-7.495757000599214,-36.602520383244006
7,First-Year Ice,2020-09-28,VV,ASCENDING,-26.38853893420634,14.390701726390667,-27.125168378293445,3.793507839242021,-27.125168378293445,-6.835286951954902,-60.43303587541036
8,First-Year Ice,2020-10-10,VV,ASCENDING,-14.111065130887871,4.239209285029993,-14.062424138544749,2.0589340166770747,-13.812550004858773,-4.547029368461412,-33.04754469299846
9,First-Year Ice,2020-10-22,VV,ASCENDING,-18.39857360449806,5.950869307358383,-18.125083710384715,2.439440367657792,-17.87493067451693,-9.667233947371951,-41.72650038238666
10,First-Year Ice,2020-11-03,VV,ASCENDING,-13.609204045820796,4.331522975438532,-13.562416689014524,2.0812311201398397,-13.562416689014524,-4.348773464843729,-29.348654514911953
11,First-Year Ice,2020-11-15,VV,ASCENDING,-18.43511505415469,23.304349255758705,-17.87467388494508,4.827457846088219,-15.874711719557842,-4.252270943616681,-48.09109720082165
12,First-Year Ice,2020-11-27,VV,ASCENDING,-15.225254955643528,15.33331480120144,-14.624226827868643,3.915777675149783,-12.62513166371854,-0.5449025495934845,-37.53584928210168
13,First-Year Ice,2020-12-09,VV,ASCENDING,-11.717723479621728,7.392046277970163,-11.375330293430132,2.718831785522996,-11.375330293430132,0.17226777896132364,-34.018508670567016
14,First-Year Ice,2020-12-21,VV,ASCENDING,-12.253631823956825,7.340032522598781,-12.187364833442713,2.7092494389772974,-12.187364833442713,-2.404970554701449,-31.815168920094173
15,First-Year Ice,2021-01-02,VV,ASCENDING,-14.101966395935074,10.932637509541204,-13.875009660521034,3.306453917649723,-13.375090026121837,-1.846596546242656,-44.08870391671681
16,First-Year Ice,2021-01-14,VV,ASCENDING,-16.001425888502055,7.671883762987159,-15.874814793407923,2.7698165576418883,-15.624420599303647,0.15943751411068338,-41.77814051839391
17,First-Year Ice,2021-01-26,VV,ASCENDING,-16.67241921113658,9.724612577753375,-16.62422570295993,3.1184311083866154,-16.62422570295993,-3.271514658487335,-42.924767992265
18,First-Year Ice,2021-02-07,VV,ASCENDING,-16.834857648166857,11.760742396921172,-16.875135869255143,3.42939388185743,-17.37472351014518,-3.5569043432681893,-41.04222199792347
19,First-Year Ice,2021-02-19,VV,ASCENDING,-18.778783277749007,11.518477810085734,-18.62500047941839,3.393888302535281,-18.12541203250465,-5.729458287916373,-45.64349627212365
20,First-Year Ice,2021-03-03,VV,ASCENDING,-19.133874041895275,12.391550874812795,-19.12475335988274,3.5201634727399798,-18.87513417824649,-3.1209275773865635,-48.81801993070211
21,First-Year Ice,2021-03-15,VV,ASCENDING,-19.038380105987592,11.54105490437115,-18.875000347481908,3.397212814112644,-19.124916955145714,-5.720648914132692,-45.48075313505115
22,First-Year Ice,2021-03-27,VV,ASCENDING,-19.012169397630732,12.205426304283035,-18.8746570011821,3.4936265261591766,-19.124694297135537,-4.892683540403936,-42.229741177514946
23,First-Year Ice,2021-04-08,VV,ASCENDING,-19.10083887272136,11.278340149897138,-19.125278666496115,3.35832400907017,-18.874576627759318,-6.203700271567047,-43.602051574739946
24,First-Year Ice,2021-04-20,VV,ASCENDING,-19.452635363517725,11.547581966700625,-19.375380791012727,3.398173327936735,-19.62434869934045,-5.479890757250213,-40.27958516552332
25,First-Year Ice,2021-05-02,VV,ASCENDING,-17.49132227904019,5.420571344796721,-17.312626093267426,2.328212048932967,-17.062303252014694,-7.832819183294539,-37.948388630864976
26,First-Year Ice,2021-05-14,VV,ASCENDING,-14.175004339490636,5.109412549244372,-14.062834468999538,2.2604009708997146,-13.937665175226355,-4.060176287881916,-31.208215106499303
27,First-Year Ice,2021-05-26,VV,ASCENDING,-14.579636922030458,5.194222493557785,-14.562289059941154,2.279083696040535,-14.43729940966087,-4.0688728945230155,-33.92672266836885
28,First-Year Ice,2021-06-07,VV,ASCENDING,-19.906472083978713,6.697902189734576,-19.625151742225476,2.5880305619784663,-19.124767021074483,-8.278609746617242,-43.68548900401308
29,First-Year Ice,2021-06-19,VV,ASCENDING,-15.64414975476956,7.2994070977053065,-15.374701786474112,2.701741493501054,-15.1250153070177,-5.931719797648343,-41.37201377750114
