,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Multi-Year Ice,2020-08-13,HH,DESCENDING,-16.033851465919803,6.947585001950268,-15.874751675773151,2.635827195009238,-15.624975112549272,-5.359522881677741,-41.22698986298061
1,Multi-Year Ice,2020-08-25,HH,DESCENDING,-19.340557445265496,21.36223031790217,-18.124302154259887,4.621929285255473,-17.125116628703406,-3.8887107354540267,-50.169079516142865
2,Multi-Year Ice,2020-09-06,HH,DESCENDING,-13.04104799066672,7.821544311705315,-12.874941587871131,2.796702399560117,-12.625086156845263,-1.6939967827356797,-37.05295127342564
3,Multi-Year Ice,2020-09-18,HH,DESCENDING,-12.743764156224527,7.452110197922296,-12.624716813203829,2.729855343772321,-12.872439313434581,0.5118261815707407,-36.35798191710932
4,Multi-Year Ice,2020-09-30,HH,DESCENDING,-12.648881118798268,6.3576887791359145,-12.624843008080859,2.521445771603251,-12.874461272794335,-0.22033548693621313,-34.88251844618922
5,Multi-Year Ice,2020-10-12,HH,DESCENDING,-12.21504976090061,6.3573024415970645,-12.125212891497906,2.5213691601185784,-12.125212891497906,0.7237512082689388,-31.62008382955458
6,Multi-Year Ice,2020-10-24,HH,DESCENDING,-11.858953262805892,6.3184183865245105,-11.812561846010224,2.513646432282096,-11.812561846010224,0.046613423245829524,-31.662861974247598
7,Multi-Year Ice,2020-11-05,HH,DESCENDING,-11.745759381700866,6.8417815724995465,-11.687681382544616,2.615679944584113,-11.687681382544616,0.9684021882955363,-29.907946522458083
8,Multi-Year Ice,2020-11-17,HH,DESCENDING,-12.169999832634987,8.065198974208492,-12.124736200100601,2.8399293959900644,-12.124736200100601,1.3105093448772753,-39.53928138031875
9,Multi-Year Ice,2020-11-29,HH,DESCENDING,-11.853016415915631,7.081490689458995,-11.812727130422987,2.6611070420896255,-11.562727220612762,0.08015610388341551,-29.850865815311025
10,Multi-Year Ice,2020-12-11,HH,DESCENDING,-11.935517904549625,9.129551619276251,-11.874772630433196,3.021514788856121,-11.625446281919967,4.868849300180963,-35.48005795308981
11,Multi-Year Ice,2020-12-23,HH,DESCENDING,-11.737280402365904,8.514516376808944,-11.625300124707437,2.9179644234995297,-12.124266991846454,1.2138604730119853,-32.22939380847583
12,Multi-Year Ice,2021-01-04,HH,DESCENDING,-11.66488921147503,8.65162105351229,-11.687508927753884,2.941363808424978,-11.687508927753884,2.2426755795215367,-28.32873483087465
13,Multi-Year Ice,2021-01-16,HH,DESCENDING,-11.75203795818828,7.80135849290181,-11.68771213261296,2.7930912074083456,-11.562577885843258,1.144173483835802,-29.14289345193694
14,Multi-Year Ice,2021-01-28,HH,DESCENDING,-11.681255772598622,8.17772909931374,-11.624818098774211,2.859672900755214,-11.374893614331617,0.8563268547483417,-32.22953108430143
15,Multi-Year Ice,2021-02-21,HH,DESCENDING,-12.546530510582254,14.56092724221898,-12.124459305750973,3.8158783054781704,-11.124694523423416,2.041547396490344,-33.13611596697876
16,Multi-Year Ice,2021-03-05,HH,DESCENDING,-11.976069580589371,13.35024668488831,-11.624460583806815,3.6537989387606307,-10.625188400704246,1.727442127694918,-36.37162247857576
17,Multi-Year Ice,2021-03-17,HH,DESCENDING,-10.729690265404994,9.60686572883446,-10.624486877868693,3.0994944311668733,-10.375017089046645,1.0853947280471956,-31.92779186992842
18,Multi-Year Ice,2021-03-29,HH,DESCENDING,-11.014200114021495,12.04419059017627,-10.624682479666102,3.470474116050467,-10.375158538429979,2.195826506796847,-46.14885815461348
19,Multi-Year Ice,2021-04-10,HH,DESCENDING,-12.216293970981319,13.220206880973583,-11.874060221214279,3.635960241940715,-11.374666050433543,2.6225123689526733,-36.49514652460789
20,Multi-Year Ice,2021-04-22,HH,DESCENDING,-12.461536838200983,9.734475671719927,-12.374437064209394,3.120012126854626,-11.874949987366781,0.5154369604891741,-37.35102936449185
21,Multi-Year Ice,2021-05-04,HH,DESCENDING,-12.055423764986099,8.118732804388449,-11.874970899518342,2.8493390118391404,-11.625253206994367,0.9564302622387076,-34.05804845739331
