,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Multi-Year Ice,2020-08-13,HV,DESCENDING,-26.521925991334314,9.862417032454294,-26.374830248879917,3.1404485400105338,-25.624673231413713,-11.771558224218378,-64.5249939555084
1,Multi-Year Ice,2020-08-25,HV,DESCENDING,-28.026745239244118,12.223529915011287,-28.125445960809802,3.4962165143210577,-29.62487986360307,-12.020418153600108,-54.03484252601329
2,Multi-Year Ice,2020-09-06,HV,DESCENDING,-23.06940586707481,13.682103210099022,-22.874366506581016,3.698932712296754,-22.37549303928551,-6.262399332131662,-55.95912119777799
3,Multi-Year Ice,2020-09-18,HV,DESCENDING,-22.622797867099308,13.593303926344623,-22.624401506252376,3.6869098071887403,-22.374575592832866,-5.928062675528233,-49.31225904132519
4,Multi-Year Ice,2020-09-30,HV,DESCENDING,-22.647403769976396,13.177463437806137,-22.625452882801916,3.630077607683634,-22.374832400158862,-5.219486065040825,-48.127887902981136
5,Multi-Year Ice,2020-10-12,HV,DESCENDING,-21.912246739640686,12.582811227801296,-21.8749900873421,3.5472258495620625,-21.375411140818862,-2.863549032208812,-48.871254383414026
6,Multi-Year Ice,2020-10-24,HV,DESCENDING,-21.253262736642316,13.478138387420104,-21.37502709046313,3.671258420136107,-21.125404697270362,-4.99462401876675,-46.60028841933449
7,Multi-Year Ice,2020-11-05,HV,DESCENDING,-21.004042864444102,14.001995330183556,-20.8748945390661,3.741924014485537,-21.374594796201215,-3.417353235609929,-47.796952003821076
8,Multi-Year Ice,2020-11-17,HV,DESCENDING,-21.412638033112785,16.672085615441034,-21.37532407460437,4.083146533672406,-21.624746728005807,-5.002166958076478,-50.12289119184126
9,Multi-Year Ice,2020-11-29,HV,DESCENDING,-20.656762133249675,13.908879112852606,-20.624994303917106,3.7294609681363613,-20.37488498286067,-4.822165234665914,-48.93345308134238
10,Multi-Year Ice,2020-12-11,HV,DESCENDING,-20.848319731997993,16.65254562511969,-20.624583100582,4.080753070833844,-20.624583100582,-4.168741743555525,-46.01517374385778
11,Multi-Year Ice,2020-12-23,HV,DESCENDING,-20.759511221408196,17.820920488071923,-20.875261447240007,4.221483209497809,-21.625198726581207,-4.3351661065022755,-45.86490548544109
12,Multi-Year Ice,2021-01-04,HV,DESCENDING,-20.72753917984143,19.38140027425194,-20.624854143894463,4.402431177684887,-20.624854143894463,-3.3492556270891383,-52.661817771071554
13,Multi-Year Ice,2021-01-16,HV,DESCENDING,-20.758140986546902,16.28305221524858,-20.6247721806872,4.035226414372381,-20.375146760418193,-3.403643716349669,-47.79548907612012
14,Multi-Year Ice,2021-01-28,HV,DESCENDING,-20.606996555253076,16.582440490969894,-20.37517180718654,4.072154281331921,-20.37517180718654,-4.235998048815322,-49.38063071435566
15,Multi-Year Ice,2021-02-21,HV,DESCENDING,-21.509581614749056,27.176245297485114,-20.875226773330702,5.21308404857289,-19.62461949011677,-4.49964608083728,-56.26138125352934
16,Multi-Year Ice,2021-03-05,HV,DESCENDING,-20.750872540587306,24.864027045796405,-20.37501259754103,4.986384165484686,-19.37453391661656,-4.087287685630935,-55.49654436994964
17,Multi-Year Ice,2021-03-17,HV,DESCENDING,-18.989612966975326,18.217815565344626,-18.62519365345294,4.268233307276516,-18.125405322356993,-3.3309302406000056,-45.78073394242965
18,Multi-Year Ice,2021-03-29,HV,DESCENDING,-19.13751323081565,20.381022323677847,-18.624625123044403,4.514534563349571,-18.125066362015005,-2.8855433176071204,-48.91198333742346
19,Multi-Year Ice,2021-04-10,HV,DESCENDING,-21.174649539082502,24.758142435946425,-20.624433070278968,4.9757554638412875,-19.875209112590117,-3.891049680109492,-54.06116176819401
20,Multi-Year Ice,2021-04-22,HV,DESCENDING,-21.650019397832878,19.095352516472108,-21.37472686296872,4.36982293880108,-21.37472686296872,-4.554180978734514,-50.37212687112381
21,Multi-Year Ice,2021-05-04,HV,DESCENDING,-21.20345147296489,15.84142971433872,-21.124625122606833,3.9801293589955926,-21.124625122606833,-3.9170669618814906,-48.90979203729806
