,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-08-13,HH,DESCENDING,-19.298631944746838,9.660596356678107,-18.874592147212145,3.1081499894114035,-18.375507293272165,-8.20904844663824,-49.02993189162803
1,Open Water,2020-08-25,HH,DESCENDING,-21.931800368605234,9.52814393396158,-21.62403391656012,3.0867691740655925,-21.12483812823131,-3.8913629451960983,-43.93606255129525
2,Open Water,2020-09-06,HH,DESCENDING,-15.923478511220049,7.612022403821874,-15.625261999565097,2.7589893808824044,-15.37519914179753,-4.685963064824711,-42.194860317379074
3,Open Water,2020-09-18,HH,DESCENDING,-21.684536609773875,26.44197681249836,-22.875446133318885,5.142176272017361,-25.120621911526015,-3.6064837476561507,-46.55623972512192
4,Open Water,2020-09-30,HH,DESCENDING,-18.182536322869318,15.493600687224843,-17.874585136920164,3.9361911395694245,-17.37463119779289,-1.595877014102849,-46.96228107339114
5,Open Water,2020-10-12,HH,DESCENDING,-17.367297128208804,11.041908811035047,-17.124576503699874,3.322936775058329,-16.87587445490264,-0.39916414566559233,-41.68561422374886
6,Open Water,2020-10-24,HH,DESCENDING,-18.3651851474316,11.498418023323676,-18.124303882895784,3.390931733804689,-17.875119789583763,-0.6463312343696823,-40.576908102666856
7,Open Water,2020-11-05,HH,DESCENDING,-19.775153380624293,11.843171197494934,-19.62492477826896,3.441390881241905,-19.374670367411895,-1.233157888900928,-41.485146287850625
8,Open Water,2020-11-17,HH,DESCENDING,-20.02030382243792,11.828698826682007,-19.874764065796438,3.439287546379629,-19.6252926003848,-0.9746697655839409,-44.78961936554829
9,Open Water,2020-11-29,HH,DESCENDING,-20.639475965928014,12.231731518976872,-20.62427236435802,3.4973892432751708,-20.37487410712138,-1.6194404531813178,-47.07552480093855
10,Open Water,2020-12-11,HH,DESCENDING,-20.31687581818163,11.912200730401286,-20.374907776063818,3.4514056166149594,-19.62535335759415,-0.9582234698608356,-42.32988961702095
11,Open Water,2020-12-23,HH,DESCENDING,-20.56059028657636,12.37467361443059,-20.624730151179154,3.517765429136882,-20.374779724147444,-0.6900909955353841,-47.07489838033669
12,Open Water,2021-01-04,HH,DESCENDING,-20.512387003372243,12.504490585649847,-20.625135250948734,3.536168913619632,-20.125692226818202,-1.9411199813925386,-50.258771722150854
13,Open Water,2021-01-16,HH,DESCENDING,-20.83207637245396,12.670780853680862,-20.87416452444511,3.5596040304619363,-20.625174940718683,-1.256683670651956,-49.209821629182315
14,Open Water,2021-01-28,HH,DESCENDING,-20.57912738187722,12.225326732811595,-20.624707730174197,3.4964734709148866,-20.125591489491523,-2.738475739050506,-45.09515817675184
15,Open Water,2021-02-21,HH,DESCENDING,-20.691425461292,12.485720680345949,-20.624184688575813,3.5335139281381003,-20.12529859722384,-1.988223594058749,-44.54654513218155
16,Open Water,2021-03-05,HH,DESCENDING,-20.806367390531552,12.325180142358715,-20.874168192003363,3.5107235924177673,-20.625045757496522,-1.694689278574816,-48.36152421820099
17,Open Water,2021-03-17,HH,DESCENDING,-20.859017107919403,12.885547591207732,-20.87502377358406,3.58964449370794,-20.62496913888889,-1.659878093329217,-47.313918476905
18,Open Water,2021-03-29,HH,DESCENDING,-20.76669227730822,12.57369312097197,-20.875110437992713,3.5459403718861333,-20.6241029855583,-0.12732806014742534,-43.27590754888342
19,Open Water,2021-04-10,HH,DESCENDING,-20.579527528109747,11.878459802995005,-20.624708510991425,3.446514152443742,-20.374723311869353,0.030417446991777543,-41.75319674272579
20,Open Water,2021-04-22,HH,DESCENDING,-20.575732361782556,11.548527280594303,-20.624831169110262,3.3983124165671263,-20.37536305518574,-2.703565729261006,-45.5717964896957
21,Open Water,2021-05-04,HH,DESCENDING,-20.49034432689872,11.480766134498605,-20.374285962525477,3.388327926057129,-20.124337950959205,-1.9643871705609781,-49.14227346116061
