,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-08-13,HV,DESCENDING,-27.274766572549176,4.267592829038671,-26.873814921399298,2.06581529402768,-26.374788187739043,-19.292172577542956,-52.13899192967966
1,Open Water,2020-08-25,HV,DESCENDING,-27.345809873118107,4.280720423512868,-26.874018924113912,2.0689901941558033,-26.374661699163877,-16.500420110400434,-53.78690274570647
2,Open Water,2020-09-06,HV,DESCENDING,-27.119689844644338,4.38463094423682,-26.873557088902032,2.0939510367333853,-26.124805893076662,-10.267528681227311,-52.34202486063335
3,Open Water,2020-09-18,HV,DESCENDING,-26.66656241842703,6.117334530797337,-26.62364022654393,2.473324590666849,-26.124702885285668,-8.225400050906627,-52.46405128497628
4,Open Water,2020-09-30,HV,DESCENDING,-26.68104952055154,5.8000043332483315,-26.374402250602472,2.4083198154000085,-25.875326355014415,-8.791460732869595,-57.19322052556576
5,Open Water,2020-10-12,HV,DESCENDING,-26.625900127104092,5.850068185217292,-26.374111600575343,2.418691420007375,-25.875286299639626,-9.464465129301447,-49.745580435503285
6,Open Water,2020-10-24,HV,DESCENDING,-26.783211790933084,5.643950112656432,-26.62385416731508,2.3756999205826546,-25.87502132198735,-8.711139243625404,-50.46979355873992
7,Open Water,2020-11-05,HV,DESCENDING,-26.778209997793212,5.681679234096562,-26.62370925354975,2.3836273270158155,-25.875597225960995,-8.598112005320564,-55.58744059441669
8,Open Water,2020-11-17,HV,DESCENDING,-26.684930513060234,5.643243475279884,-26.37486509051195,2.3755511939926457,-25.875068869719183,-8.000478242920199,-51.857142588416
9,Open Water,2020-11-29,HV,DESCENDING,-26.66522549857941,5.688179790194358,-26.37389366117417,2.384990522034492,-25.875115067997612,-7.791294688882054,-48.01870561108966
10,Open Water,2020-12-11,HV,DESCENDING,-26.802188788860075,5.70014254398862,-26.624306147903795,2.387497129629399,-26.125037065289167,-8.90340141999995,-53.9648071044994
11,Open Water,2020-12-23,HV,DESCENDING,-26.82025045331755,5.653402574531661,-26.62381179816639,2.3776884940066605,-26.125161943822313,-8.392492488368767,-54.716356475102444
12,Open Water,2021-01-04,HV,DESCENDING,-26.383111999954373,5.623798364128523,-26.124020514134443,2.3714549045108413,-25.625083660910224,-7.372359199873497,-49.18546039752854
13,Open Water,2021-01-16,HV,DESCENDING,-26.490277282951816,5.664896500196616,-26.37311505985241,2.380104304478402,-25.874467101402818,-8.010343371117436,-53.245421518882466
14,Open Water,2021-01-28,HV,DESCENDING,-26.471442354309335,5.466598490033397,-26.12331819435207,2.338075809299903,-25.624745480706185,-8.341699987502777,-48.23946435457108
15,Open Water,2021-02-21,HV,DESCENDING,-26.40498539699891,5.579405462629891,-26.12361969244187,2.3620765149820806,-25.62536220677319,-7.94789938658608,-57.15292838265037
16,Open Water,2021-03-05,HV,DESCENDING,-26.515387855299597,5.624627163406835,-26.3734832903175,2.3716296429684873,-25.874092481126567,-6.724975775116774,-51.437149212671265
17,Open Water,2021-03-17,HV,DESCENDING,-26.37255190083629,5.689086668348253,-26.123263981524193,2.3851806364190224,-25.624723634728706,-7.191730588375048,-49.82138807168887
18,Open Water,2021-03-29,HV,DESCENDING,-26.39845104667487,5.629968836554714,-26.12388693891643,2.372755536618704,-25.624731001532002,-7.004550233028954,-50.4941621774519
19,Open Water,2021-04-10,HV,DESCENDING,-26.383895540530936,5.651415140239059,-26.12353867428687,2.377270523150249,-25.62467383588759,-7.6758253657744735,-60.49546065131122
20,Open Water,2021-04-22,HV,DESCENDING,-26.492987880739022,5.643988529416972,-26.373777125819554,2.375708005925175,-25.62551274483987,-7.405124785922904,-51.98209342693893
21,Open Water,2021-05-04,HV,DESCENDING,-26.41365862379365,5.484519769726617,-26.12320041018254,2.341905158140828,-25.624686787096113,-7.13636105129413,-52.78640916567022
