,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-06-24,VH,ASCENDING,-29.74859929303854,6.636346417144286,-29.624065079898106,2.576110715234166,-29.374905356226677,-8.070345541740462,-58.81817488422502
1,Open Water,2020-07-06,VH,ASCENDING,-29.561501884841107,6.977069062840911,-29.37462666639508,2.6414142164455976,-29.12564840844447,-5.712448098994719,-60.04699831602632
2,Open Water,2020-07-30,VH,ASCENDING,-30.424111121447204,5.202597269807364,-30.123569159508502,2.280920268182939,-29.624791192191854,-7.047119565272429,-66.24204260185168
3,Open Water,2020-08-11,VH,ASCENDING,-30.833570432660796,4.875578555780152,-30.623297471092506,2.2080712297796,-29.875360473329312,-7.735844690566067,-60.55939556931354
4,Open Water,2020-08-23,VH,ASCENDING,-30.750770602726472,4.98247256868055,-30.37430144443856,2.232145283954553,-29.875253443858327,-7.494039503314043,-65.72466013129487
5,Open Water,2020-09-04,VH,ASCENDING,-30.534704399589764,5.63706260127106,-30.374044175134124,2.374249902868521,-29.625200270084342,-2.77248040157634,-63.462862345261755
6,Open Water,2020-09-16,VH,ASCENDING,-30.39828847561582,5.216402928950246,-30.12344524690768,2.283944598485315,-29.624657068553432,-5.572883781086681,-63.97105713309166
7,Open Water,2020-09-28,VH,ASCENDING,-30.634010692734474,4.527779849258144,-30.374016810487003,2.1278580425531834,-29.625010249641466,-6.139398394125818,-60.46974041546392
8,Open Water,2020-10-10,VH,ASCENDING,-30.43439695146143,5.024110092372965,-30.123450072895324,2.241452674578021,-29.62483470093124,-7.918315420170755,-65.8053003888075
9,Open Water,2020-10-22,VH,ASCENDING,-30.666340508109155,4.40671694270012,-30.37391189180144,2.099218174154397,-29.62498882428937,-7.491617623518802,-65.46203515709227
10,Open Water,2020-11-03,VH,ASCENDING,-30.159062889105268,5.7805608178136385,-29.87458565908354,2.404279687934338,-29.62460688201,-3.4460937233458684,-63.98558013840762
11,Open Water,2020-11-15,VH,ASCENDING,-30.176291905563946,6.0053635970455215,-30.123645705862085,2.450584337876533,-29.624961984114424,-10.949975858940821,-66.12355933234431
12,Open Water,2020-11-27,VH,ASCENDING,-26.892393323860407,11.060366928662322,-26.875012993894035,3.325712995533788,-28.624730147837884,-13.122346580341514,-59.06901367849139
13,Open Water,2020-12-09,VH,ASCENDING,-26.175356728384006,9.210195738696438,-25.8751369823728,3.0348304299740234,-24.875163907205778,-12.414030072446842,-51.11465411110526
14,Open Water,2020-12-21,VH,ASCENDING,-30.021341642543025,5.175729332058968,-29.623872638774206,2.275022930007293,-29.125590769425077,-11.948877479343455,-59.9815665602458
15,Open Water,2021-01-02,VH,ASCENDING,-29.944910203542932,4.965947238286959,-29.62332502267559,2.2284405395448537,-29.12494007510612,-12.567338390967986,-65.692556510781
16,Open Water,2021-01-14,VH,ASCENDING,-30.133282227884056,4.816118812926658,-29.87396983342663,2.1945657458656047,-29.125669288182223,-10.49271325149822,-64.70491868617125
17,Open Water,2021-01-26,VH,ASCENDING,-30.047419961998177,4.8602982804677834,-29.623636181595,2.204608418850791,-29.125405264162097,-10.804871873587558,-64.07095859889714
18,Open Water,2021-02-07,VH,ASCENDING,-30.165874656245748,4.73674770898105,-29.873742754078187,2.1764070641728623,-29.37497501617056,-9.5975679150021,-63.668822957017696
19,Open Water,2021-02-19,VH,ASCENDING,-30.146635206103603,4.739513195619517,-29.873715611467386,2.1770423045084626,-29.125602161924594,-11.285275391708447,-58.569804862252
20,Open Water,2021-03-03,VH,ASCENDING,-30.288928881831357,4.8110403581814225,-29.874354397267012,2.193408388372175,-29.374994465351225,-9.434186732117809,-66.95013198452229
21,Open Water,2021-03-15,VH,ASCENDING,-30.359280867836983,4.921006160661515,-30.12347499336977,2.2183340958163886,-29.624016778739982,-8.44032232204638,-64.2524501004552
22,Open Water,2021-03-27,VH,ASCENDING,-30.109454682741006,4.804830612450697,-29.874396795547405,2.191992384213607,-29.12559448790533,-12.746319195009946,-56.861508906579814
23,Open Water,2021-04-08,VH,ASCENDING,-30.110610046374465,4.819376563961831,-29.87378444439983,2.195307851751483,-29.12522215154787,-11.180420932966308,-59.00796716652852
24,Open Water,2021-04-20,VH,ASCENDING,-30.140114411625234,4.785552098378163,-29.873697224429602,2.1875904777581576,-29.125528063829503,-7.416133701055499,-58.70867323998554
25,Open Water,2021-05-02,VH,ASCENDING,-29.81191771364732,5.451263888206095,-29.623419056721794,2.3347941854060656,-29.124692445520456,-17.345697859472143,-55.90389116770589
26,Open Water,2021-05-14,VH,ASCENDING,-28.57204457326206,7.300829856876589,-28.624965396327184,2.7020047847620394,-28.62496539632718,-10.965522157372693,-56.484833129056256
27,Open Water,2021-05-26,VH,ASCENDING,-28.961729691009147,7.048815737931483,-28.87487141135928,2.6549605906550635,-28.87487141135928,-12.350304703366461,-64.49631757708437
28,Open Water,2021-06-07,VH,ASCENDING,-30.142117033948526,4.6096724844952925,-29.87385389317639,2.1470147844146696,-29.125591615717767,-14.646323102672358,-66.0970720061103
29,Open Water,2021-06-19,VH,ASCENDING,-26.86084976651295,8.612028348378281,-26.87492962282571,2.9346257595097676,-26.125030177422424,-12.45649297324416,-58.174201812457866
