,Classification,Date,Polarisation,Orbit Pass,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-06-24,VV,ASCENDING,-18.83744328431875,9.933676486034305,-18.62479190281257,3.151773546121968,-18.12500297006115,1.7161223078745387,-41.613937767028915
1,Open Water,2020-07-06,VV,ASCENDING,-19.54543311241885,15.27154529212717,-19.374951014219597,3.9078824562833474,-19.1246684249692,1.7660236138076149,-51.65636866543777
2,Open Water,2020-07-30,VV,ASCENDING,-17.64737991040977,5.984160042498834,-17.62447120178992,2.446254288192222,-17.374596666756425,1.5138919447201409,-43.30845924271802
3,Open Water,2020-08-11,VV,ASCENDING,-26.98913125144881,22.652424740700972,-28.37972023490186,4.759456349279923,-29.62433433810798,1.9342057719752486,-59.92594998951379
4,Open Water,2020-08-23,VV,ASCENDING,-21.46627950641495,11.892623473548205,-21.124832925993964,3.4485683222966896,-20.3750492017774,1.3831602688216271,-48.39693104511923
5,Open Water,2020-09-04,VV,ASCENDING,-14.801469656686242,4.647302320545687,-14.624956804372308,2.1557602650911085,-14.375279662323125,1.6761149833710343,-31.753701523019267
6,Open Water,2020-09-16,VV,ASCENDING,-15.71263811492817,5.366692599025874,-15.624655580365584,2.316612310902684,-15.12540620895288,2.2939974235808815,-36.27395219553841
7,Open Water,2020-09-28,VV,ASCENDING,-28.729731544969102,15.09994590872314,-29.375571248165144,3.8858648855464777,-29.624508046616523,1.60329373052873,-57.68008143636416
8,Open Water,2020-10-10,VV,ASCENDING,-18.03776192383181,4.712980051215967,-17.874943788249674,2.1709399004154646,-17.62531382042072,0.6694526605380522,-40.02508530376903
9,Open Water,2020-10-22,VV,ASCENDING,-19.997091650737048,7.9764079127292264,-19.624464950933007,2.824253514245707,-19.125138010932,-1.2279539534156285,-48.33008852852665
10,Open Water,2020-11-03,VV,ASCENDING,-16.71515423549062,5.724689933421205,-16.625223382271077,2.392632427561995,-16.625223382271074,2.4674455954120034,-34.48612383060527
11,Open Water,2020-11-15,VV,ASCENDING,-22.942279489265278,25.651555897016937,-23.12505057878864,5.064736508152911,-23.374901137565363,-0.5317243188440974,-60.28557893803692
12,Open Water,2020-11-27,VV,ASCENDING,-13.99677056401401,7.766781425138815,-13.875278334861871,2.7868945845041906,-13.875278334861871,-1.7589788215892384,-34.18643113609103
13,Open Water,2020-12-09,VV,ASCENDING,-13.589481909357872,6.260373248013207,-13.624797317216403,2.502073789482078,-13.624797317216403,-0.07571277520965666,-32.92507863736509
14,Open Water,2020-12-21,VV,ASCENDING,-19.49778124051266,6.7626191565412,-19.375024738702283,2.6005036351716715,-19.37502473870228,-2.0418186488316294,-42.369076203456444
15,Open Water,2021-01-02,VV,ASCENDING,-21.865719596235532,8.303523426854738,-21.62510482523495,2.881583492952192,-21.37522747518654,-1.2585869668014333,-46.847053755367924
16,Open Water,2021-01-14,VV,ASCENDING,-21.592958454258337,8.287549026433005,-21.3746501945958,2.8788103491603967,-20.87510654454547,-1.334642886407459,-49.30713989027968
17,Open Water,2021-01-26,VV,ASCENDING,-22.080354287447946,8.503294728599538,-21.87471286318132,2.9160409339718703,-21.625195172325586,-2.4690336157063015,-48.53331273648195
18,Open Water,2021-02-07,VV,ASCENDING,-22.984893973451094,8.946792137110302,-22.87486250602811,2.991118877127805,-22.624838548157506,-0.24191135574863065,-50.98684615286124
19,Open Water,2021-02-19,VV,ASCENDING,-23.493147366190254,9.313614448427236,-23.374792242254852,3.0518214968158337,-22.875453108487573,1.9902930393785097,-53.01240507535699
20,Open Water,2021-03-03,VV,ASCENDING,-23.676486607118672,9.394935709463985,-23.624713785905,3.0651159373609715,-23.12481318501798,3.4755912887526623,-49.896769027569164
21,Open Water,2021-03-15,VV,ASCENDING,-23.460022063412392,9.129317892354932,-23.374627839962834,3.021476111498287,-23.12509552707019,-0.31467227433629197,-48.83491560816439
22,Open Water,2021-03-27,VV,ASCENDING,-23.579500480024,9.517997800503553,-23.374439087990748,3.085125248754648,-23.12473254284942,-1.322343179849973,-51.06168933603129
23,Open Water,2021-04-08,VV,ASCENDING,-23.48458255847993,9.497313501465783,-23.374170126876326,3.08177116305961,-22.625339181115248,-1.1851417101655788,-53.81539669606894
24,Open Water,2021-04-20,VV,ASCENDING,-23.68430014773175,9.543461613818398,-23.62416424336977,3.0892493608995695,-22.874988406740858,-2.463651025046561,-50.64831458073379
25,Open Water,2021-05-02,VV,ASCENDING,-19.158689790153776,4.922372055005725,-19.124522229114508,2.2186419393416057,-18.874902988072563,1.4800565162922383,-41.180318109307954
26,Open Water,2021-05-14,VV,ASCENDING,-16.933202935033524,4.571770053198573,-16.874921727971593,2.138169790544842,-16.624888312812054,-0.7055453741082873,-35.44408776499747
27,Open Water,2021-05-26,VV,ASCENDING,-17.648523688115304,4.921007257070944,-17.624211993200028,2.2183343429408384,-17.375065707074267,-1.1977991374525363,-38.29479230486841
28,Open Water,2021-06-07,VV,ASCENDING,-23.703441876861916,8.841577515454343,-23.37432033234454,2.9734790255614887,-23.12501636538299,-3.503943421907853,-56.165911383339264
29,Open Water,2021-06-19,VV,ASCENDING,-14.528533824397597,4.2782592770363035,-14.43736748497837,2.0683953386710927,-14.312496476121003,1.8562147505051847,-29.57496772335346
