,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-08-04,HH,-19.54798805011616,7.173729925935477,-19.374801968055845,2.678381960426019,-19.124963356589042,-6.975031901500684,-40.958231127977314
1,Open Water,2020-10-09,HH,-15.635468953164398,5.053563733492274,-15.562761909742292,2.2480132858798396,-15.562761909742292,-4.844603043951188,-31.850812277906503
2,Open Water,2020-11-08,HH,-20.738493504110735,6.52353394715515,-20.624853659224172,2.5541209734770103,-20.37498117932312,-7.473370937541141,-46.60011292188198
3,Open Water,2020-11-20,HH,-19.875567482143072,7.195027125209961,-19.874983203462936,2.6823547724359047,-19.62502566851144,-6.770245211262477,-42.46521066817295
4,Open Water,2020-12-08,HH,-20.722673501075906,6.385636677710722,-20.624736996036745,2.5269817327615622,-20.62473699603675,-7.488092217561338,-46.9382019715175
5,Open Water,2021-01-07,HH,-20.520617399606028,7.652250863155225,-20.37497691846924,2.7662702079072594,-20.12501659833368,-8.620622025015436,-48.33731104231163
6,Open Water,2021-02-06,HH,-19.716099101877738,7.965299632153839,-19.624600211636967,2.8222862420657986,-19.37476540861484,-7.917224008741048,-47.008200872612456
7,Open Water,2021-02-18,HH,-17.18295967150612,4.903187081630587,-17.06244436883713,2.2143141334577354,-17.06244436883713,-6.716503558024711,-34.811025462264226
8,Open Water,2021-02-24,HH,-20.43264647226537,6.605517750717596,-20.374840094295777,2.5701201821543984,-20.124939352879412,-7.057456833899401,-46.9779895361481
9,Open Water,2021-03-14,HH,-16.405792370860503,4.296476544034069,-16.374915627035364,2.07279438054864,-16.37491562703536,-0.3522357458418956,-34.59384432444169
10,Open Water,2021-03-20,HH,-16.99841787798547,5.622183645513903,-16.874567605687453,2.371114431130182,-16.625046284694626,-5.420068612458876,-38.65213969087085
11,Open Water,2021-04-13,HH,-17.686557335231548,6.1102283782958,-17.562575090329716,2.4718876144144986,-17.437530860377105,-6.642940730495146,-37.75249142951204
12,Open Water,2021-05-19,HH,-31.097923510900465,8.373499028619513,-31.126044298828678,2.893699885720617,-31.625474840077448,-14.399682441763392,-68.19180704068398
13,Open Water,2021-05-25,HH,-20.2660134409851,6.266456516276431,-20.12498111181691,2.5032891395674675,-19.875196466228882,-7.8490177434106485,-45.3767873479531
