,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-08-04,HV,-30.476002314780448,8.457062424560794,-30.375540765392966,2.908102890985942,-31.124626956539718,-15.819843044917128,-60.1022253780051
1,Open Water,2020-10-09,HV,-28.0697212586029,8.02513130483391,-27.874258731014,2.8328662701994793,-27.624789751386018,-16.407351001742242,-62.34996060336036
2,Open Water,2020-11-08,HV,-30.49835228776823,7.969982667781187,-30.3751312071953,2.823115773003574,-31.124918663456043,-18.274069452430854,-64.42356813813733
3,Open Water,2020-11-20,HV,-31.049094875896216,7.773944849137585,-31.125825880233283,2.7881794865356424,-31.374876371283893,-18.820480607861732,-68.16240116432878
4,Open Water,2020-12-08,HV,-31.74796341488463,7.503200580654478,-31.626515077522672,2.739197068605046,-31.875121130794653,-19.136002300144355,-66.69306233087495
5,Open Water,2021-01-07,HV,-30.714662413592418,8.089460597347509,-30.6262419914489,2.844197707148242,-31.12511565708191,-17.949095995187015,-67.82276390421376
6,Open Water,2021-02-06,HV,-31.962763087463898,8.292579051724493,-32.126094963210114,2.8796838457935783,-32.374217967833694,-19.090571863233635,-60.68329507387914
7,Open Water,2021-02-18,HV,-31.184345616526638,8.397325313162012,-31.126130794215435,2.897813885183452,-31.625813913053676,-18.04365693776501,-67.39430124825516
8,Open Water,2021-02-24,HV,-30.933695754877007,8.075458466528021,-30.87545853024081,2.8417351154757915,-31.624875787499818,-18.908368452625734,-68.15956954312387
9,Open Water,2021-03-14,HV,-30.932879271783776,8.041275964194718,-30.875217682897603,2.8357143657629775,-31.625440251557965,-15.889434822551303,-63.63622955019586
10,Open Water,2021-03-20,HV,-29.84014160634099,8.646805402468631,-29.874966286139575,2.940545085943836,-30.625112146449805,-17.72376897819838,-65.11415605114516
11,Open Water,2021-04-13,HV,-28.663032010762922,8.393927395159132,-28.374912776677427,2.8972275359659156,-28.12469110270931,-16.68355158292019,-61.756248564223775
12,Open Water,2021-05-19,HV,-31.499624672794017,7.217197365368018,-31.62562743366958,2.6864842015853427,-31.625627433669578,-19.81655867909979,-62.15442596242791
13,Open Water,2021-05-25,HV,-31.930993418864606,8.097456940543847,-31.87532895254113,2.8456030890733595,-32.37401698064558,-19.344358109089647,-72.71858739364089
