,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-06-29,VH,-27.748251361085238,4.421953258729249,-27.373591540383895,2.102844088069573,-26.874716314540457,-18.079428350607273,-56.632633132129115
1,Open Water,2020-07-11,VH,-27.46117579311287,4.574444069474165,-27.1235974533571,2.1387950040792267,-26.624660903056427,-17.759937260579463,-59.06303357188782
2,Open Water,2020-07-23,VH,-27.782440237576363,4.444605011328941,-27.373842365821485,2.108223188215338,-26.874751629344093,-18.205052013723765,-60.4529588574941
3,Open Water,2020-08-04,VH,-27.62216858697489,4.471568342798874,-27.37352254110833,2.114608319003583,-26.62510636613675,-18.0265277336604,-66.09896586357723
4,Open Water,2020-08-16,VH,-27.608607818654924,4.355560726905976,-27.12370904479697,2.0869980179448624,-26.625266045458254,-18.50391616823495,-57.95484093359966
5,Open Water,2020-09-09,VH,-27.688408484683478,4.478603691636754,-27.37366364526786,2.1162711762995494,-26.625154966282732,-14.268260410387217,-59.154851293237115
6,Open Water,2020-10-03,VH,-27.670688244480427,4.402128118130608,-27.37367895264555,2.0981249052739672,-26.625432256349768,-18.52767453738943,-63.85578573674786
7,Open Water,2020-10-15,VH,-27.704103029534654,4.301288489725399,-27.37363477743814,2.073954794523111,-26.625190735110362,-14.033178212708554,-57.567840676722454
8,Open Water,2020-11-08,VH,-27.6529041003133,4.772839320909649,-27.373617474072244,2.184682887951831,-26.874415420608596,-17.781839908961654,-66.56078215791804
9,Open Water,2020-11-20,VH,-27.706768347082317,4.356220750653162,-27.373545039261256,2.0871561395001255,-26.62529197583227,-18.58704602110209,-57.54635863144749
10,Open Water,2020-12-26,VH,-27.633581374897652,4.449238928990192,-27.373515871455506,2.109321912129651,-26.625119387126208,-18.25781344472921,-55.46925713608034
11,Open Water,2021-01-07,VH,-27.424505516707036,4.826106320252294,-27.123738170462147,2.1968400761666977,-26.62487440611933,-17.14024073334325,-57.91281992974703
12,Open Water,2021-04-13,VH,-27.707725744849178,4.3058442327165,-27.373524830579576,2.075052826488229,-26.625381372541696,-18.267066062526013,-66.06606324510777
13,Open Water,2021-04-25,VH,-27.645493588247245,4.284476566350567,-27.373405827997523,2.0698977188138676,-26.62503394976379,-18.581776992164365,-59.55771924858411
14,Open Water,2021-05-07,VH,-27.29480165951326,5.080996592559578,-27.123883307535266,2.25410660629873,-26.624647352366914,-16.571697353081852,-62.20587960585288
15,Open Water,2021-05-19,VH,-27.5845512597161,4.621819905515882,-27.373559479799464,2.1498418326740927,-26.625063469405443,-18.038431777334615,-64.18690144789466
16,Open Water,2021-05-31,VH,-27.702426092486423,4.37061110874438,-27.373627131774345,2.0906006574054943,-26.625385317542776,-17.62278002817033,-57.92112473118844
