,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-06-29,VV,-16.239733614999846,5.478739624179523,-16.124792808602013,2.3406707637298267,-15.875048377206937,-5.583520724457278,-38.09403720516465
1,Open Water,2020-07-11,VV,-16.483773225291664,5.459371791548797,-16.37480279843969,2.3365298610436795,-16.125217848108278,-6.416887488934327,-39.78579400510554
2,Open Water,2020-07-23,VV,-16.79693756638487,7.8404087602835,-16.624832942025517,2.8000729919563874,-16.374832783741706,-6.352360431921548,-39.493633478608054
3,Open Water,2020-08-04,VV,-17.23057797431692,5.622630083444925,-17.1247028546686,2.371208570211607,-16.874911881454608,-6.556315907879381,-40.61336652399053
4,Open Water,2020-08-16,VV,-18.84225791882136,7.7756719589924845,-18.624781870177266,2.788489189326809,-18.37498531064691,-5.705994981926919,-44.74140036311651
5,Open Water,2020-09-09,VV,-17.42917152682438,6.375222377438117,-17.37459249384963,2.5249202715012933,-17.124880212357134,-6.595326066151963,-39.80665704539116
6,Open Water,2020-10-03,VV,-17.035143008617712,7.131712987063321,-16.874960857943492,2.670526724648732,-16.62494069076546,-3.8062104420500638,-39.03887449981296
7,Open Water,2020-10-15,VV,-18.132586859705672,6.5062481495493705,-17.874624138326187,2.5507348254079814,-17.62501652313812,-6.325749898208633,-41.466951969285276
8,Open Water,2020-11-08,VV,-15.877765403969804,6.711918303862414,-15.874856325519215,2.590737019433353,-15.625030336853392,-3.471153665898496,-40.0492099863899
9,Open Water,2020-11-20,VV,-16.58484084002683,6.700123736017096,-16.375029599367686,2.5884597226955357,-16.375029599367686,-4.7655296374506175,-39.58455202872881
10,Open Water,2020-12-26,VV,-16.563553736835328,7.6609943618154,-16.374863155358163,2.7678501335541,-16.37486315535817,-2.462285427193331,-39.66444717889604
11,Open Water,2021-01-07,VV,-15.52550409837445,8.405936975175228,-15.375032863815791,2.8992993938493457,-15.375032863815791,-0.18603118909482885,-39.53980744038007
12,Open Water,2021-04-13,VV,-17.983734810199582,6.374707285373277,-17.874618209045213,2.5248182677913937,-17.624919044268957,-6.327155021224355,-44.043817913148416
13,Open Water,2021-04-25,VV,-19.575833466713686,6.97987276256994,-19.374733543218188,2.6419448825760625,-19.124733865471924,-9.449669397608528,-45.47384337306839
14,Open Water,2021-05-07,VV,-15.177160040086399,5.206518458690708,-15.062379079404261,2.281779669181647,-14.937498475819995,-4.039536953461123,-35.75921694349841
15,Open Water,2021-05-19,VV,-15.231619745394035,5.7604564967295575,-15.124832602615806,2.4000951016010723,-14.875148423418715,-3.6621124123343485,-42.099003437176314
16,Open Water,2021-05-31,VV,-17.619994577423622,5.959652064090167,-17.374721374285617,2.441239862055789,-17.12493642119028,-6.170459041094272,-42.855525398539676
