,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-10-12,HH,-12.580533935435685,7.5247108979255115,-12.375035508003128,2.7431206495386804,-11.8752668623,1.6521490026692875,-33.132918220390565
1,Sea Ice,2020-10-24,HH,-13.078944217116842,8.82548004238261,-12.874911289600815,2.970770950844675,-12.374885886917234,0.1657001616206204,-34.56171865394752
2,Sea Ice,2020-11-05,HH,-13.123464112457071,9.184549836925495,-12.874932026336735,3.0306022234739904,-12.624912352073832,0.6381982064509681,-32.73328440941296
3,Sea Ice,2020-11-29,HH,-12.99552284080044,8.570602477517916,-12.875081035272478,2.9275591330522968,-12.374864506703151,0.14636851217938193,-34.02307954642935
4,Sea Ice,2020-12-11,HH,-13.047643817957525,8.988069399687593,-12.937406846947907,2.998010907199571,-12.812520170970082,-0.10507982192449047,-30.964674831736062
5,Sea Ice,2020-12-23,HH,-13.468547393664748,9.844426999322431,-13.374656439038057,3.1375829868423293,-12.625215597249005,2.4578988040452807,-34.760927525706784
6,Sea Ice,2021-01-04,HH,-13.841898243651059,10.991694188817348,-13.624768233039067,3.315372405751328,-12.875007023865612,0.5439137063597324,-35.374846492339536
7,Sea Ice,2021-01-16,HH,-14.212642216481301,9.80628887034187,-14.125039322021,3.1314994603770683,-13.624881097630238,0.9274344782530981,-36.27148481609399
8,Sea Ice,2021-01-28,HH,-14.019863534420669,10.935670404551862,-13.87448838815826,3.306912518430437,-13.374833380158499,0.1318384572913159,-36.10273742878754
9,Sea Ice,2021-03-05,HH,-14.064389565469341,11.508614913603603,-13.874418498179152,3.3924349534815743,-13.374898171829994,0.12140900203664601,-35.204050025085294
10,Sea Ice,2021-03-17,HH,-13.664283623821516,11.77794184412188,-13.374448036586076,3.431900616877188,-12.874892073412925,1.1764731009402614,-35.82012181076759
11,Sea Ice,2021-03-29,HH,-13.578216021078997,12.266873384006415,-13.374721066802529,3.502409653939192,-12.62552689835344,1.0312121564868484,-34.81887981897179
