,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-10-12,HV,-23.382756161469917,15.065452766136362,-23.1244697078869,3.881424064198106,-22.62489252613492,-5.438867251121422,-54.70958545893677
1,Sea Ice,2020-10-24,HV,-23.71607862372481,16.565559405943926,-23.624323137620845,4.070081007295063,-22.87511372640195,-4.999237173858235,-59.8359528692458
2,Sea Ice,2020-11-05,HV,-23.733436640348316,16.603632545974268,-23.37467700231772,4.074755519779612,-23.124958455470964,-5.2441605216814775,-58.17024323550158
3,Sea Ice,2020-11-29,HV,-23.234588680448965,16.68904555778267,-23.124289588424798,4.085222828412478,-22.874993640153605,-4.738636648554319,-51.518980119769566
4,Sea Ice,2020-12-11,HV,-23.432386071472468,17.445528218050008,-23.374948974926593,4.176784435190537,-23.12488227122952,-4.552775044209839,-49.97177686656755
5,Sea Ice,2020-12-23,HV,-24.28653048546127,19.34652515029952,-24.12450217585426,4.398468500546479,-23.124685691328217,-5.170425645080522,-55.821150730601204
6,Sea Ice,2021-01-04,HV,-24.736524609273193,20.673701069706304,-24.624872390565898,4.546834181021594,-23.12505324498138,-4.983376520666354,-55.29904965673229
7,Sea Ice,2021-01-16,HV,-25.383382567600588,20.30420530346501,-25.12448602122461,4.506018786408354,-23.87476040893305,-5.449758426523873,-58.43677027258295
8,Sea Ice,2021-01-28,HV,-24.781658170166722,21.334197978330426,-24.624735833965467,4.618895753135173,-23.624974300161217,-4.442957518510263,-58.95964446051725
9,Sea Ice,2021-03-05,HV,-24.6959327658593,21.18422302366702,-24.374674450881503,4.6026321842687805,-23.37551211314622,-5.421824614535966,-61.234504558756285
10,Sea Ice,2021-03-17,HV,-24.128419996435973,21.602520665296705,-23.874052844053686,4.647851187946633,-23.375150824633707,-5.226979090455174,-59.35301036984998
11,Sea Ice,2021-03-29,HV,-23.763451829745158,21.182817301711435,-23.62519266637605,4.602479473252613,-23.12494344545247,-4.3571101687635965,-52.824414019025205
