,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-08-14,VH,-29.289376586704456,6.46488175229083,-29.12532723401797,2.54261317393962,-29.125327234017963,-11.191864216840075,-61.813724160384496
1,Sea Ice,2020-09-19,VH,-28.921257844650768,6.871008922411381,-28.874973697502604,2.621260941305039,-28.874973697502615,-17.314642259133816,-64.41538868880367
2,Sea Ice,2020-10-01,VH,-28.101781052181106,7.774432771240554,-28.125007438147993,2.788266983493507,-28.375193142349048,-16.349004838444273,-65.23767375154252
3,Sea Ice,2020-11-06,VH,-28.802175646150808,6.991096308309335,-28.62517523861579,2.6440681360943463,-28.874725220272854,-17.713730753620904,-65.95642956569583
4,Sea Ice,2020-12-24,VH,-27.691179025567653,11.478889601844266,-27.8751005173874,3.388051003430168,-28.624898256291505,-10.830509532045935,-60.23214745159934
5,Sea Ice,2021-01-17,VH,-27.28318224523343,9.64372900961054,-27.375406211736497,3.105435397751845,-27.8748093755238,-13.418697592035256,-59.647631541140775
6,Sea Ice,2021-01-29,VH,-25.892880211706306,12.1328371182867,-25.875255227850186,3.4832222321131026,-26.374781366852012,-11.319396626295429,-60.57402397771223
7,Sea Ice,2021-03-06,VH,-24.957541413940444,10.924164063675999,-24.875049268301886,3.3051723198157155,-24.62498919043132,-9.558161206835422,-61.34082271568393
8,Sea Ice,2021-03-30,VH,-26.35378581777055,12.009900491183492,-26.37492021418745,3.465530333323241,-28.12436628790947,-6.319325844445224,-56.93708566655499
9,Sea Ice,2021-04-23,VH,-27.04247656897849,11.507112125048462,-27.37568877634319,3.392213455112835,-28.124864705137945,-12.391782671194967,-57.03311524591211
10,Sea Ice,2021-05-29,VH,-26.786724984098896,11.304529491840578,-26.87482634566647,3.3622209165729253,-27.125224294976693,-10.068605151214868,-58.36395013156313
11,Sea Ice,2021-06-10,VH,-26.603689993289194,14.046295804034415,-26.87519708063061,3.747838817776788,-28.375062808988176,-11.60534221699164,-61.61333106262472
