,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-08-14,VV,-13.931044197883102,4.299875443099286,-13.812424154113721,2.0736141017796337,-13.562499213278155,-1.69595792980743,-31.890835433371244
1,Sea Ice,2020-09-19,VV,-13.08290034357909,4.570323065295472,-12.937460373296046,2.1378313930933546,-12.687572208233629,-3.838329307417096,-29.451255298507775
2,Sea Ice,2020-10-01,VV,-14.252410613470309,7.214028446951998,-14.124778114950237,2.6858943476898145,-14.124778114950242,0.04239449524932513,-38.49372251478891
3,Sea Ice,2020-11-06,VV,-14.2468255385268,5.802883927080648,-14.124751982652132,2.408917584119608,-14.124751982652128,-1.1860892709431425,-36.26704144396704
4,Sea Ice,2020-12-24,VV,-12.303280157054536,6.707634653691407,-12.374953040465659,2.589910163247252,-12.374953040465657,0.5680138051646543,-32.84794997963357
5,Sea Ice,2021-01-17,VV,-14.652392176326241,8.737319829943456,-14.374880789880212,2.955895774540005,-14.124708298485492,-0.643573251861571,-40.56321295282856
6,Sea Ice,2021-01-29,VV,-13.461053073223919,11.356694576864538,-13.374853546763074,3.369969521652157,-13.374853546763072,0.7130074438711367,-37.05099044303201
7,Sea Ice,2021-03-06,VV,-12.40323160191957,6.382008534313256,-12.374907743731685,2.526263749950351,-12.125065605025595,0.6755367979472953,-33.93561988645888
8,Sea Ice,2021-03-30,VV,-14.294378304246852,9.829717217661038,-14.124891359856788,3.135237984214442,-13.874879947430987,2.195597928880098,-37.400816259578924
9,Sea Ice,2021-04-23,VV,-13.115554735587818,5.400401657388421,-13.124772427213061,2.32387642902724,-12.874745551931667,2.1016002399600877,-33.887303793476036
10,Sea Ice,2021-05-29,VV,-10.314809666395469,4.97811270246308,-10.187424829290451,2.2311684612469387,-9.93751103593108,-1.0456450379234117,-28.0228969782498
11,Sea Ice,2021-06-10,VV,-12.232343325718302,5.546082774556951,-12.062457893991233,2.3550122663283313,-11.937388080260163,-2.6378543676479187,-31.659885710185463
