,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-07-12,VH,-28.105910647927,4.77075867795106,-27.6885027032816,2.18420664726373,-26.9362547859994,-20.5221265212098,-43.8106849019451
1,Open Water,2020-07-24,VH,-27.8057515911654,3.57295844297991,-27.4370349846279,1.89022708767489,-26.5629203293268,-20.9755853561329,-37.6172164090038
2,Open Water,2020-08-17,VH,-28.0824317559849,4.04541968759407,-27.6873176532336,2.01132287005196,-27.4357571885345,-21.6657313615144,-40.6322906376433
3,Open Water,2020-10-04,VH,-28.1839094119689,5.02623549831208,-27.8087722100742,2.24192673794486,-27.3133875195263,-20.6341886819681,-44.454891999651
4,Open Water,2020-10-16,VH,-28.0366769097719,4.76930198149154,-27.681800937569,2.18387316057768,-27.1910191570076,-21.1721606053436,-45.269404508447
5,Open Water,2020-10-28,VH,-28.0585480405575,4.72809815805786,-27.6878495413342,2.17441903920515,-26.9338865459011,-20.2696140302401,-42.5467355788115
6,Open Water,2020-12-03,VH,-27.7880958069053,3.83301466327009,-27.4368457440098,1.95780863806198,-26.6904255298139,-21.4665434682155,-38.6619596501039
7,Open Water,2020-12-27,VH,-27.8767705506387,4.13706507438383,-27.5616354531397,2.03397764844745,-27.0599403150568,-20.331095261725,-51.444203812045
8,Open Water,2021-02-01,VH,-28.0484617042887,4.4990219392077,-27.6914419065135,2.12108979989243,-27.1829898062548,-20.8525691264901,-40.7951935342268
9,Open Water,2021-03-21,VH,-28.0073572254772,4.13436113250359,-27.6857783673655,2.03331284668729,-26.5631185042243,-20.7738009673518,-39.0284088537219
10,Open Water,2021-04-02,VH,-28.1691248369147,4.97668106901031,-27.813131206279,2.23084761223404,-26.685929064387,-21.2936055497868,-45.1738725839677
,,,,-28.0148216801455,4.40844693861473,-27.6527373370389,2.09663746254922,,,
