,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-07-12,VV,-16.9947762535269,4.67739431115619,-16.8098412385973,2.16272844138051,-16.1858513984669,-10.6270415502989,-31.0720410651562
1,Open Water,2020-07-24,VV,-19.0174908674654,4.93554695939383,-18.8098452244374,2.22160909239088,-19.1927351200247,-12.8465309743472,-31.035120853989
2,Open Water,2020-08-17,VV,-19.2885606795458,5.89608216048147,-19.0606992082073,2.42818495186867,-18.9355086870047,-12.7484018128073,-32.5985610255593
3,Open Water,2020-10-04,VV,-16.6656507240418,4.86363823843253,-16.559581223614,2.20536578336396,-16.9365240808732,-10.2683591554206,-27.6299412956048
4,Open Water,2020-10-16,VV,-15.4777102073685,4.67083636440363,-15.3107389130015,2.161211781479,-14.8121956101572,-9.50647730105603,-26.7803744136013
5,Open Water,2020-10-28,VV,-16.8354440738203,6.35804000952997,-16.6909160115773,2.52151541925287,-16.5664462049729,-7.86532445051496,-29.777618591543
6,Open Water,2020-12-03,VV,-16.1493434203841,5.29439800625101,-16.0594246196729,2.30095588967955,-15.5611657090466,-9.1926047692908,-26.7486124236047
7,Open Water,2020-12-27,VV,-19.7236788659555,7.76971324481677,-19.4428520374282,2.78742053605421,-19.062193841284,-11.0687755539383,-34.689794387695
8,Open Water,2021-02-01,VV,-16.8830496280037,5.14693370212577,-16.8149828317438,2.26868545685068,-16.933380164015,-9.23290072015483,-30.5824031919872
9,Open Water,2021-03-21,VV,-15.4722548253403,4.52094386718944,-15.311900089014,2.12625112985024,-15.5611157844263,-8.43803995296894,-26.2819972775249
10,Open Water,2021-04-02,VV,-15.0185668013152,5.54540338809106,-14.9366848828831,2.35486801925099,-14.3120121398824,-7.00611223875524,-32.809898616362
,,,,-16.5282123182787,5.52123835260502,-16.3908850761168,2.34078425197269,,,
