,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-09-18,HH,-12.4037774830855,6.80848474341522,-12.3113753919764,2.60930733019612,-11.692126042818,-1.63685777524927,-23.794911994696
1,Sea Ice,2020-10-12,HH,-12.1827569396746,6.20791119692307,-12.0632498016348,2.49156801972635,-11.4419727930322,-0.859126985883692,-24.6830310567815
2,Sea Ice,2020-10-24,HH,-11.9311340099002,7.190982728804,-11.6878873352443,2.68160077729777,-12.1875727630179,-1.1429114008036,-26.3654403340031
3,Sea Ice,2020-11-05,HH,-12.3571416043213,8.17679194064755,-12.0629206754291,2.85950903839235,-11.6896122521618,-2.56243531896254,-26.2454438906562
4,Sea Ice,2020-11-17,HH,-13.1730457670829,9.27998643700693,-13.0630230005353,3.04630701620945,-12.9390733901701,-2.33955037632542,-24.4732213246252
5,Sea Ice,2020-11-29,HH,-12.6124704064556,8.34413169774785,-12.4359675609948,2.88862107202517,-13.0622569046431,-1.73967919748054,-27.0903373811219
6,Sea Ice,2020-12-11,HH,-13.3209510103399,9.93147494735071,-13.1854354364964,3.15142427282502,-13.3144810939589,-3.5023749840405,-24.8517264379156
7,Sea Ice,2020-12-23,HH,-13.3926336818254,8.46792093286254,-13.3170928396379,2.90996923228795,-12.8164748594461,0.881328851680849,-24.5709394366708
8,Sea Ice,2021-02-21,HH,-13.0838264591305,8.02298991515529,-13.0630185232733,2.83248829038273,-13.1885822227155,-3.61688497598928,-25.8983204761774
9,Sea Ice,2021-03-05,HH,-13.6389484786178,8.70688225857324,-13.4368124127885,2.95074266220781,-13.0582645930155,-4.51800418831771,-25.9988999885003
,,,,-12.8096685840434,8.11375567984864,-12.6626782978011,2.84215377115507,,,
