,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Sea Ice,2020-09-18,HV,-22.9169460593977,12.176330366038,-22.875681207434,3.4894598960352,-23.1219164958273,-7.46917622641869,-42.5019414868992
1,Sea Ice,2020-10-12,HV,-22.8704456532321,12.4510411124521,-22.6252791916571,3.52860328068375,-22.8803200752635,-9.48295720758246,-48.7838333956254
2,Sea Ice,2020-10-24,HV,-22.0445952218792,14.1370487762787,-21.8132067053275,3.75992669825871,-21.5653872010249,-9.92974912763499,-40.1507652027845
3,Sea Ice,2020-11-05,HV,-22.4967084238041,15.0737994720631,-22.3720124867602,3.88249912711685,-22.8763245976571,-9.02610791553263,-43.1178846650112
4,Sea Ice,2020-11-17,HV,-23.8932347673412,20.7739059066261,-23.8122139550881,4.55784004838104,-22.8115137839262,-8.22468876472837,-38.872651683192
5,Sea Ice,2020-11-29,HV,-22.6540688434213,15.0959091884969,-22.5568900122306,3.88534544004737,-21.3145659116523,-10.0497280165994,-39.0327176232218
6,Sea Ice,2020-12-11,HV,-23.5640664659563,18.9437440253864,-23.3726132952989,4.35244115702744,-23.3726132952989,-7.74251924473595,-49.7128350549079
7,Sea Ice,2020-12-23,HV,-24.7106735831273,15.8892572157644,-24.4411509820431,3.98613311566039,-24.4411509820431,-8.88708597439149,-38.6184206359884
8,Sea Ice,2021-02-21,HV,-23.2225804250501,15.3226107930879,-23.1328010620696,3.91441065718556,-23.8777149140334,-9.09435653263601,-43.7231265436175
9,Sea Ice,2021-03-05,HV,-23.884111566428,17.389079921893,-23.5600448680017,4.17002157331266,-22.061917214121,-9.86357695044559,-41.7323047358189
,,,,-23.2257431009638,15.7252726778086,-23.0561893765911,3.9526680993709,,,
